No Dosen,Nama Dosen,No Judul,Judul,No Grup Riset,Grup Riset,No Bidang,Nama Bidang,Nilai Prediksi,Deleted
3,"Ahmadi Yuli Ananta, ST., M.M.",40,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN DOSEN BERPRESTASI JURUSAN TEKNOLOGI INFORMASI DI POLITEKNIK NEGERI MALANG,4,Information System,31,Penerapan Sistem Pendukung Keputusan,8.883011311970718e-57,0
3,"Ahmadi Yuli Ananta, ST., M.M.",41,PENGEMBANGAN SISTEM INFORMASI PEMESANAN JASA TOUR & TRAVEL DI CV CAHAYA TRAVEL BERBASIS WEBSITE,4,Information System,33,Penerapan Customer Relationship Management,8.58499488140458e-56,0
3,"Ahmadi Yuli Ananta, ST., M.M.",42,GAME PETUALANGAN 2D MENGGUNAKAN METODE FINITE-STATE MACHINE,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,1.5118208348986317e-29,0
3,"Ahmadi Yuli Ananta, ST., M.M.",43,SISTEM INFORMASI PENGELOLAAN DATA KUNJUNGAN BEROBAT POLIKLINIK BERBASIS WEB DI POLITEKNIK NEGERI MALANG,4,Information System,28,Penerapan Sistem Informasi Geografis,6.64042652683904e-58,0
3,"Ahmadi Yuli Ananta, ST., M.M.",44,PERAMALAN DAERAH RAWAN KRIMINALITAS YANG ADA DI WILAYAH BATU MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING BERBASIS GIS STUDI KASUS KECAMATAN BATU,4,Information System,30,Penerapan Sistem Peramalan,8.896842765797086e-109,0
3,"Ahmadi Yuli Ananta, ST., M.M.",45,SISTEM PERAMALAN DAN PEMANTAUAN JUMLAH PRODUKSI IKAN BERBASIS WEB DENGAN METODE Seasonal Autoregressive Integrated Moving Average SARIMASTUDI KASUS DINAS PERIKANAN KAB MALANG,4,Information System,30,Penerapan Sistem Peramalan,5.082412292608495e-94,0
3,"Ahmadi Yuli Ananta, ST., M.M.",46,SISTEM PENGGAJIAN ONLINE DOSEN KONTRAK/LUAR BIASA BERBASIS WEBSITE STUDI KASUS POLITEKNIK NEGERI MALANG,4,Information System,34,Penerapan Pembelajaran Elektronik pada Sistem Informasi,1.7097601845219778e-56,0
3,"Ahmadi Yuli Ananta, ST., M.M.",47,SPKK Penyakit Paru-Paru Guna Membantu Proses Anamnesa Berbasis Mobile,1,Sistem Cerdas,5,Penerapan Sistem Pakar,1.9596690245459647e-39,0
3,"Ahmadi Yuli Ananta, ST., M.M.",48,Implementasi Metode VIKOR pada Sistem Pendukung Keputusan Penerima Beasiswa PPA Studi Kasus Politeknik Negeri Malang,4,Information System,31,Penerapan Sistem Pendukung Keputusan,1.8041915992979687e-58,0
3,"Ahmadi Yuli Ananta, ST., M.M.",49,IMPLEMENTASI ANALISA KERANJANG BELANJA GUNA MENENTUKAN PAKET PRODUK DENGAN ALGORITMA FP-GROWTH,1,Sistem Cerdas,3,Penerapan Data Besar,1.0171695709109133e-33,0
3,"Ahmadi Yuli Ananta, ST., M.M.",50,IMPLEMENTASI METODE TIME SERIES UNTUK MERAMALKAN PENJUALAN DAN PRODUKSI STUDI KASUS TOKO GERAI PRINT DI SIDOARJO,4,Information System,30,Penerapan Sistem Peramalan,3.8345554783521935e-61,0
3,"Ahmadi Yuli Ananta, ST., M.M.",51,IMPLEMENTASI ALGORITMA APRIORI PADA PENGELOLAAN PERSEDIAAN OBAT STUDI KASUS DI APOTEK INA NUSANTARA KABUPATEN SITUBONDO,1,Sistem Cerdas,3,Penerapan Data Besar,4.236771748350607e-31,0
3,"Ahmadi Yuli Ananta, ST., M.M.",52,GAME EDUKASI “SUPRIJADI DON’T LOSS YOUR TOWER” BERBASIS ANDROID,5,Multimedia dan Game,36,Pengembangan Game,8.953918375553477e-23,0
3,"Ahmadi Yuli Ananta, ST., M.M.",53,RANCANG BANGUN GAME FIGHTING 2D “THE HISTORY OF GAJAH MADA” BERBASIS ANDROID,5,Multimedia dan Game,36,Pengembangan Game,6.7833447200705e-47,0
3,"Ahmadi Yuli Ananta, ST., M.M.",54,RANCANG BANGUN GAME EDUKASI “SAVIOR OF PHOTOSYNTHESIS” 2D DENGAN FUZZY,5,Multimedia dan Game,36,Pengembangan Game,1.140979062606845e-40,0
3,"Ahmadi Yuli Ananta, ST., M.M.",55,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN TUMBUHAN HERBAL UNTUK OBAT PENYAKIT DALAM DENGAN MENGGUNAKAN METODE AHP,4,Information System,31,Penerapan Sistem Pendukung Keputusan,1.2160947489304751e-26,0
3,"Ahmadi Yuli Ananta, ST., M.M.",56,PENCARIAN JALUR TERPENDEK UNTUK PENJEMPUTAN BARANG KIRIMAN PELANGGAN MITRA STUDI KASUS PADA KANTOR POS MALANG,4,Information System,28,Penerapan Sistem Informasi Geografis,6.781383418390074e-118,0
4,"Annisa Puspa Kirana., M.Kom",57,Perangkat Desa Melek Digital dan Kreatif Pelatihan Pengembangan Konten Digital Desa Ngijo Kabupaten Malang,3,Computer Vision,20,Penerapan Watermarking pada Citra,1.0096418756641543e-162,0
4,"Annisa Puspa Kirana., M.Kom",58,Implementasi Naive Bayes Dan Pos Tagging Menggunakan Metode Hidden Markov Model Viterbi Pada Analisa Sentimen Terhadap Akun Twitter Presiden Joko Widodo Di Saat Pandemi COVID-19,1,Sistem Cerdas,7,Penerapan Penambangan Teks,2.552992446394829e-95,0
4,"Annisa Puspa Kirana., M.Kom",59,Spatio Temporal Clustering Titik Panas pada Lahan Gambut di Sumatera Menggunakan Proses Pengelompokan Poisson,1,Sistem Cerdas,3,Penerapan Data Besar,7.284002193278684e-22,0
4,"Annisa Puspa Kirana., M.Kom",60,Pengembangan Sistem Informasi Alumni Berbasis Web Fakultas Sains Dan Teknologi Universitas Islam Negeri Maulana Malik Ibrahim Malang,4,Information System,34,Penerapan Pembelajaran Elektronik pada Sistem Informasi,4.401737551046912e-35,0
4,"Annisa Puspa Kirana., M.Kom",61,Pengembangan Aplikasi Dan Pelatihan Sistem Informasi TPQ Madinah Ma’arif 10 An-Nur Kota Malang,4,Information System,28,Penerapan Sistem Informasi Geografis,9.450766284121908e-90,0
4,"Annisa Puspa Kirana., M.Kom",62,Penerapan Sistem Informasi Administratif Desa Ngijo Kabupaten Malang menggunakan OpenSID,4,Information System,28,Penerapan Sistem Informasi Geografis,1.757915089360453e-44,0
4,"Annisa Puspa Kirana., M.Kom",63,Sistem Informasi Geografis Pemetaan Potensi Objek Wisata Pantai di Kabupaten Tulungagung,4,Information System,28,Penerapan Sistem Informasi Geografis,5.681870002386191e-31,0
4,"Annisa Puspa Kirana., M.Kom",64,Improvisasi Teknik Oversampling MWMOTE Untuk Penanganan Data Tidak Seimbang,1,Sistem Cerdas,3,Penerapan Data Besar,1.9639723238739327e-48,0
4,"Annisa Puspa Kirana., M.Kom",65,Sistem Pendukung Keputusan Berbasis Website Dalam Menentukan Kelayakan Pembuatan Sertifikat Tanah Menggunakan Metode Analytic Network Process ANP,4,Information System,31,Penerapan Sistem Pendukung Keputusan,1.5561079265102757e-79,0
4,"Annisa Puspa Kirana., M.Kom",66,Sistem Pakar Diagnosa Penyakit Kelamin Menular Pada Laki-laki Dengan Metode Dempster Shafer,1,Sistem Cerdas,5,Penerapan Sistem Pakar,1.1187032900488835e-34,0
4,"Annisa Puspa Kirana., M.Kom",67,SPATIO-TEMPORAL DATA MINING PADA DATA HOTSPOT SEBAGAI INDIKATOR KEBAKARAN HUTAN DAN LAHAN GAMBUT DI PROVINSI RIAU,1,Sistem Cerdas,6,Penerapan Penambangan Data,5.6454391489896524e-30,0
5,"Annisa Taufika Firdausi, ST., MT.",68,Analisis Sentimen Pada Twitter Mengenai Pasca Bencana Menggunakan Metode Naïve Bayes Dengan Fitur N-Gram,1,Sistem Cerdas,7,Penerapan Penambangan Teks,3.4117846957097216e-66,0
5,"Annisa Taufika Firdausi, ST., MT.",69,SISTEM PENDUKUNG KEPUTUSAN SOLUSI KELAYAKAN PENERIMA BANTUAN BEDAH RUMAH MENGGUNAKAN METODE PROFILE MATCHING,4,Information System,31,Penerapan Sistem Pendukung Keputusan,1.0850844297618074e-54,0
5,"Annisa Taufika Firdausi, ST., MT.",70,Penerapa Metode Hierarchical Clustering Dan K-Means Clustering Untuk Mengelompokkan Potensi Lokasi Penjualan Linkaja,1,Sistem Cerdas,3,Penerapan Data Besar,1.598115472658995e-51,0
5,"Annisa Taufika Firdausi, ST., MT.",71,Implementasi Backward Chaining untuk Diagnosis Low Soft Handover Success Rate pada Jaringan WCDMA,1,Sistem Cerdas,5,Penerapan Sistem Pakar,9.884410874350407e-21,0
5,"Annisa Taufika Firdausi, ST., MT.",72,Implementasi GraphQL Untuk Mengatasi Under-Fetching pada Pengembangan Sistem Informasi Pelacakan Alumni Politeknik Negeri,5,Multimedia dan Game,37,Multimedia,1.9934098642123757e-21,0
5,"Annisa Taufika Firdausi, ST., MT.",73,DESAIN FRAMEWORK LINE CHATBOT MENGGUNAKAN NODEJS DAN MONGODB,4,Information System,27,Penerapan Manajemen Informasi,2.1677432718770483e-40,0
5,"Annisa Taufika Firdausi, ST., MT.",74,APLIKASI PENGHITUNG KOLONI BAKTERI BERBASIS ANDROID,5,Multimedia dan Game,38,Penerapan Augmented Reality,3.453117360400262e-26,0
5,"Annisa Taufika Firdausi, ST., MT.",75,PENGEMBANGAN SISTEM ANALISA KEBERPIHAKAN MEDIA ONLINE BERDASARKAN TREND WAKTU MENGGUNAKAN NAIVE BAYES CLASSIFIER,1,Sistem Cerdas,3,Penerapan Data Besar,4.736328634372645e-32,0
5,"Annisa Taufika Firdausi, ST., MT.",76,Penentuan Bahan Makanan Untuk Itik Petelur Menggunakan Algoritma Genetika,1,Sistem Cerdas,6,Penerapan Penambangan Data,5.956239149064168e-39,0
5,"Annisa Taufika Firdausi, ST., MT.",77,Sistem Pendukung Keputusan Penerima Kredit UKM Menggunakan Metode Weighted Aggregated Sum Product Assessment Studi Kasus BANK BPR Jatim Cabang Magetan,4,Information System,31,Penerapan Sistem Pendukung Keputusan,6.634035399556029e-89,0
5,"Annisa Taufika Firdausi, ST., MT.",78,Aplikasi Android dengan Online First Approach dan Local Database Cache,2,Computer Network,18,Penerapan Enkripsi,2.1998893309218225e-42,0
5,"Annisa Taufika Firdausi, ST., MT.",79,SISTEM PREDIKSI KEBUTUHAN PEGAWAI KATERING BERDASARKAN JUMLAH PESANAN MENGGUNAKAN METODE FUZZY TIME SERIES,4,Information System,30,Penerapan Sistem Peramalan,9.497961118897456e-63,0
5,"Annisa Taufika Firdausi, ST., MT.",80,PENENTUAN BAHAN MAKANAN UNTUK ITIK PETELUR MENGGUNAKAN ALGORITMA GENETIKA,1,Sistem Cerdas,6,Penerapan Penambangan Data,5.956239149064168e-39,0
5,"Annisa Taufika Firdausi, ST., MT.",81,SISTEM INFORMASI PERAMALAN PENJUALAN KAYU UNTUK MEBEL DENGAN METODE TREND MOMENT di UD MAULANA JATI JEPARA,4,Information System,30,Penerapan Sistem Peramalan,8.554168254054121e-39,0
5,"Annisa Taufika Firdausi, ST., MT.",82,SISTEM PAKAR DIAGNOSA PENYAKIT AYAM PULLET MENGGUNAKAN METODE DEMPSTER SHAFER,1,Sistem Cerdas,5,Penerapan Sistem Pakar,8.73764767979843e-35,0
5,"Annisa Taufika Firdausi, ST., MT.",83,SISTEM PAKAR DIAGNOSIS PENYAKIT SAPI MENGGUNAKAN FUZZY INFERENCE TSUKAMOTO,1,Sistem Cerdas,5,Penerapan Sistem Pakar,2.256013074525437e-40,0
5,"Annisa Taufika Firdausi, ST., MT.",84,Pengembangan Sistem Pendukung Keputusan Pengolahan Pelanggaran Santri Menggunakan metode fuzzy AHP studi kasus pondok pesantren nurul islam antirogo sumbersari jember,4,Information System,31,Penerapan Sistem Pendukung Keputusan,2.990086820579333e-85,0
5,"Annisa Taufika Firdausi, ST., MT.",85,IMPLEMENTASI METODE FUZZY DAN FSM PADA GAME LEGEND OF DAMARWULAN,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,4.079019075883904e-29,0
5,"Annisa Taufika Firdausi, ST., MT.",86,PREDIKSI STOK PERTAMAX SPBU SINGOSARI MALANG MENGGUNAKAN METODE LEAST SQUARE,4,Information System,30,Penerapan Sistem Peramalan,2.717991700348029e-38,0
5,"Annisa Taufika Firdausi, ST., MT.",87,PENGEMBANGAN GAME RPG EDUKATIF TOKOH PANGERAN DIPONEGORO DENGAN ALGORITMA PATHFINDING A* DAN LINEAR CONGRUENTIAL METHOD BERBASIS ANDROID,5,Multimedia dan Game,36,Pengembangan Game,2.404320545806843e-83,0
5,"Annisa Taufika Firdausi, ST., MT.",88,Implementasi Backward Chaining Untuk Diagnosis Low Soft Handover Success Rate Pada Jaringan Wideband Code Division Multiple Access WCDMA,1,Sistem Cerdas,5,Penerapan Sistem Pakar,3.7514596731087357e-31,0
5,"Annisa Taufika Firdausi, ST., MT.",89,Aktivitas Repelan Minyak Atsiri Daun Jeruk Pontianak Citrus Nobilis Lour Terhadap Nyamuk Aedes Aegypti L Dengan Metode Whopes,3,Computer Vision,23,Penerapan Transformasi Citra,1.1233594883917862e-24,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",90,Penerapan algoritma Fisher-Yates pada pengacakan soal game aritmatika,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,2.843489866649914e-47,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",91,Penerapan Metode Design Thinking Pada Perancangan User Interface Aplikasi Kotakku,4,Information System,32,Penerapan Bisnis Elektronik Sistem Informasi,3.1490925358476192e-46,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",92,IDENTIFIKASI KUALITAS DAUN BAYAM DENGAN GRAY LEVEL CO-OCCURRENCE MATRIX GLCM DAN YUV COLOR MOMENTS,3,Computer Vision,23,Penerapan Transformasi Citra,4.139705591262386e-49,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",93,Pemrogaman Spreadsheet Untuk Pemodelan Kontrol Rangkaian Elektronika,5,Multimedia dan Game,37,Multimedia,3.193357187587878e-27,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",94,Penyusunan Strategi Pembelajaran Participatory Learning and Action untuk Meningkatkan Peran Mahasiswa Teknik Elektronika sebagai Agen Energi Photovoltaic,5,Multimedia dan Game,37,Multimedia,3.583801588980842e-42,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",95,evaluasi dan perancangan user interface dan user experience menggunakan metode heuristic evaluation dan human centered design pada website kabupaten jembrana,4,Information System,32,Penerapan Bisnis Elektronik Sistem Informasi,5.38762222842144e-64,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",96,IMPLEMENTASI APLIKASI PSIKOLOGI EKSPERIMEN UNTUK MENENTUKAN KONDISI KETAHANAN JIWA MENGGUNAKAN METODE FUZZY MAMDHANI,4,Information System,31,Penerapan Sistem Pendukung Keputusan,7.159237522762977e-43,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",97,PREDIKSI PERMINTAAN KEBUTUHAN CABAI DI KOTA BATU MENGGUNAKAN METODE EXTREME LEARNING MACHINE,1,Sistem Cerdas,6,Penerapan Penambangan Data,9.908652432363572e-68,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",98,SISTEM PENENTU POLA MAKAN SAYUR DAN BUAH BERDASARKAN GOLONGAN DARAH DAN PENYAKIT,1,Sistem Cerdas,6,Penerapan Penambangan Data,3.019138661781688e-60,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",99,Sistem Pendukung Keputusan Pembagian Zakat pada Masjid Menggunakan Metode Analytic Network Process,4,Information System,31,Penerapan Sistem Pendukung Keputusan,1.3459583980380842e-25,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",100,Media Pembelajaran sistem pencernaan Manusia untuk Siswa Sekolah Dasar berbasis Augmented Reality,5,Multimedia dan Game,38,Penerapan Augmented Reality,1.1945108142052612e-52,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",101,REKOMENDASI JURUSAN PERGURUAN TINGGI BERDASARKAN BAKAT MINAT DAN NILAI RAPORT MENGGUNAKAN METODE K-NEAREST NEIGHBOR Studi Kasus SMAN 1 Kedungwaru,1,Sistem Cerdas,3,Penerapan Data Besar,7.91078633607411e-48,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",102,Penerapan Pembelajaran Cooperative Learning Metode Think Pair Share untuk Matakuliah Pemrograman Komputer Pendidikan Tinggi Vokasi Teknik Elektronika,4,Information System,34,Penerapan Pembelajaran Elektronik pada Sistem Informasi,1.3981707331657877e-30,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",103,Pemanfaatan Kinect Sensor dalam Pengembangan Game Interaksi Fisik,5,Multimedia dan Game,36,Pengembangan Game,3.4251705863431423e-14,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",104,GAME PENINGGALAN SEJARAH DI PULAU JAWA GENRE PETUALANGAN,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,6.088560534798922e-22,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",105,Desain Aplikasi Pendidikan Masyarakat Sadar Menanam Pohon Menggunakan Teknologi Augmented Reality,5,Multimedia dan Game,38,Penerapan Augmented Reality,7.821846736269531e-63,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",106,Pengembangan bahan ajar pada kompetensi dasar pengelasan mata pelajaran sambungan dasar pengelasan plat untuk kelas XI teknik pemesinan di SMK pekerjaan umum PU Malang,5,Multimedia dan Game,37,Multimedia,1.9322310275431018e-55,0
7,"Ariadi Retno Ririd, S.Kom., M.Kom.",107,Sistem Pakar Diagnosa 33 Macam Penyakit Kulit dan Kelamin dengan Metode Fuzzy Inference Tsukamoto,1,Sistem Cerdas,5,Penerapan Sistem Pakar,4.5179732475332e-22,0
