No Dosen,Nama Dosen,No Bidang,Kecenderungan Bidang,Jumlah Bidang Muncul,Persentase
35,"Hendra Pradibta, SE., M.Sc.",5,Penerapan Sistem Pakar,6,18
36,"Ika Kusumaning Putri, MT.",7,Penerapan Penambangan Teks,2,20
37,"Imam Fahrur Rozi, ST., MT.",7,Penerapan Penambangan Teks,14,22
38,"Indra Dharma Wijaya, ST., M.MT.",37,Multimedia,18,14
39,"Irsyad Arif Mashudi, M.Kom",4,Penerapan Information Retrieval,4,36
40,"Kadek Suarjuna Batubulan, S.Kom, MT",31,Penerapan Sistem Pendukung Keputusan,4,12
41,"Luqman Affandi, S.Kom., MMSI",30,Penerapan Sistem Peramalan,7,13
42,M. Hasyim Ratsanjani,3,Penerapan Data Besar,2,40
43,Mamluatul Hani'ah,28,Penerapan Sistem Informasi Geografis,3,20
44,"Meyti Eka Apriyani ST., MT.",38,Penerapan Augmented Reality,12,40
45,Milyun Ni'ma Shoumi,28,Penerapan Sistem Informasi Geografis,3,27
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",3,Penerapan Data Besar,3,20
47,"Muhammad Afif Hendrawan.,S.Kom., MT",25,Penerapan Morfologi Citra Digital,2,66
48,"Muhammad Shulhan Khairy, S.Kom, M.Kom",36,Pengembangan Game,2,13
50,"Mungki Astiningrum, ST., M.Kom.",25,Penerapan Morfologi Citra Digital,6,10
51,"Mustika Mentari, S.Kom., M.Kom",31,Penerapan Sistem Pendukung Keputusan,11,28
53,"Odhitya Desta Triswidrananta, S.Pd., M.Pd.",35,Computational Thinking,2,100
54,"Pramana Yoga Saputra, S.Kom., MMT.",4,Penerapan Information Retrieval,7,21
55,"Putra Prima A., ST., M.Kom.",28,Penerapan Sistem Informasi Geografis,4,11
56,"Rakhmat Arianto, S.ST., M.Kom",3,Penerapan Data Besar,6,16
57,"Rawansyah., Drs., M.Pd.",35,Computational Thinking,20,16
59,"Ridwan Rismanto, SST., M.Kom.",7,Penerapan Penambangan Teks,5,13
60,"Rizky Ardiansyah, S.Kom., MT.",31,Penerapan Sistem Pendukung Keputusan,1,100
61,Rokhimatul Wakhidah,37,Multimedia,3,20
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",23,Penerapan Transformasi Citra,7,11
63,"Rudy Ariyanto, ST., M.Cs.",31,Penerapan Sistem Pendukung Keputusan,22,39
64,"Septian Enggar Sukmana, S.Pd., M.T",25,Penerapan Morfologi Citra Digital,3,17
65,"Sofyan Noor Arief, S.ST., M.Kom.",12,Penerapan Keamanan Data,1,33
66,"Ulla Delfana Rosiani, ST., MT.",23,Penerapan Transformasi Citra,7,18
67,"Usman Nurhasan, S.Kom., MT.",38,Penerapan Augmented Reality,10,26
69,"Vipkas Al Hadid Firdaus, ST,. MT",18,Penerapan Enkripsi,2,40
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",28,Penerapan Sistem Informasi Geografis,3,13
71,"Vivin Ayu Lestari, S.Pd",27,Penerapan Manajemen Informasi,3,21
72,Wilda Imama Sabilla,3,Penerapan Data Besar,4,36
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",3,Penerapan Data Besar,4,15
74,"Yuri Ariyanto, S.Kom., M.Kom.",14,Penerapan Virtualisasi Jaringan,9,14
75,"Yushintia Pramitarini, S.ST., MT.",3,Penerapan Data Besar,3,17
77,Yan Watequlis Syaifudin,31,Penerapan Sistem Pendukung Keputusan,10,27
