Judul,Skalabilitas dan Analitik Data,Penerapan Kecerdasan Buatan,Penerapan Data Besar,Penerapan Information Retrieval,Penerapan Sistem Pakar,Penerapan Penambangan Data,Penerapan Penambangan Teks,Penerapan Intelijen Bisnis,Penerapan Smart Living,Penerapan Komputasi Awan,Penerapan IoT,Penerapan Keamanan Data,Penerapan Keamanan Cyber,Penerapan Virtualisasi Jaringan,Penerapan Teknologi Jaringan,Penerapan Teknologi Nirkabel,Penerapan IT Forensik pada Jaringan,Penerapan Enkripsi,Penerapan Pengenalan Pola,Penerapan Watermarking pada Citra,Penerapan Kompresi Citra,Penerapan Pengolahan Citra,Penerapan Transformasi Citra,Penerapan Filtering Citra,Penerapan Morfologi Citra Digital,Integrasi Sistem dan Arsitektur,Penerapan Manajemen Informasi,Penerapan Sistem Informasi Geografis,Penerapan Global Professional Practice,Penerapan Sistem Peramalan,Penerapan Sistem Pendukung Keputusan,Penerapan Bisnis Elektronik Sistem Informasi,Penerapan Customer Relationship Management,Penerapan Pembelajaran Elektronik pada Sistem Informasi,Computational Thinking,Pengembangan Game,Multimedia,Penerapan Augmented Reality
 Konsep kecerdasan buatan dengan pemahaman logika fuzzy dan penerapan aplikasi,3.8114256378383917e-26,4.4909193012636955e-23,1.576835231309996e-27,2.5724943101144495e-25,4.3367390726337357e-26,1.0023441804304286e-25,4.183005144418519e-26,2.3741772951849478e-26,1.3532346836791807e-24,6.648780261211048e-26,1.9529716895687149e-25,4.03502887846357e-26,1.7350711531240473e-26,5.2931948349266485e-27,3.157320614823393e-27,3.9908033250856945e-27,7.835002429569197e-27,3.877947898272889e-26,2.6361917064889594e-27,5.306625994477138e-27,1.0801045814165042e-26,1.680403847902829e-26,2.422496963350935e-26,3.963672500824991e-27,9.006043844956499e-27,1.2707288495922098e-26,4.054522434242e-27,2.404541759243328e-26,1.0304904299605903e-25,2.9055497824715894e-25,9.188977938479385e-25,1.4208891301131338e-25,7.425658622195295e-26,1.9672614827452493e-25,4.1076920114517836e-25,2.3212510436505546e-26,4.34635769153755e-24,8.625893165728383e-26
Penerapan Kecerdasan Buatan Pada Game “Air Strike Stta” Berbasis Client Server Pada Android,2.1926763115062868e-36,4.2734389107018556e-30,3.2671125876895192e-37,1.0000031394293315e-36,4.61820849162644e-37,2.668696310559646e-38,3.742130696553791e-37,5.5768981987483925e-37,6.311117081573517e-36,2.3334864210625677e-35,7.803223406210641e-36,7.457989893411276e-36,1.8138478845550796e-36,3.429850878427429e-35,1.7500477417200125e-36,1.2738452467193233e-36,1.2283978889031577e-36,3.622768858112529e-37,1.8152092839653038e-37,2.59794125845765e-37,6.499591220171833e-38,1.2545100441030827e-37,3.429759999975055e-37,3.334546445979721e-38,2.3617625756760574e-37,1.0811498864635187e-37,2.099229607400129e-37,3.639811044467411e-36,2.94780561132958e-36,9.758628810300055e-37,3.001825613850185e-37,6.44373949521737e-36,2.2901204329845718e-37,2.091854997941859e-36,2.42032533411965e-36,3.748115022335368e-34,1.5367030538905024e-35,2.0603136389701397e-34
Pengembangan Aplikasi Mobile Learning Berbasis Android Mata Kuliah Kecerdasan Buatan Di Jurusan Teknik Informatika Universitas Negeri Surabaya,8.892616925009376e-56,2.026106778987435e-53,1.3017493490211662e-56,3.36690869821246e-54,1.5399131938833973e-57,1.7067696523742965e-56,3.295149358889401e-55,1.8107289134645413e-55,2.5112246107555007e-55,3.7779950987226354e-54,1.4664869319838752e-55,4.121596304602996e-56,7.418898407824631e-56,1.172633634463144e-54,2.303050059901403e-53,3.687139986517025e-55,4.46871089142717e-55,5.294862260250988e-55,3.3777440409389385e-56,1.7913945853356938e-57,3.9668262436545015e-58,5.434516027033372e-56,9.939024578337201e-55,2.1119723020167042e-58,2.41254417319819e-56,1.701009999304778e-55,1.0633191608210342e-52,7.877207463635276e-55,4.81215271689628e-50,2.0247701444110895e-56,2.1986738404828367e-56,1.4631888380057166e-53,6.115760276266993e-57,2.1967750223709593e-50,2.22689410454733e-53,2.363561994077185e-50,1.0932943865838147e-48,1.081874945769137e-51
Penerapan Clustering Pada Laju Inflasi Kota Di Indonesia Dengan Algoritma K-Means,1.5249351733683622e-26,8.61542934037692e-25,6.22589385225518e-24,1.1314351209285524e-24,1.9089561742271027e-27,3.879664694865266e-23,2.474008390854063e-24,6.663657084343012e-25,2.0319628150992082e-25,8.033483977709573e-27,1.3733104690611016e-27,5.530361986387691e-26,2.075959809424879e-25,1.173747135521797e-26,5.026090887724583e-25,1.4784695072048454e-27,3.837544420203779e-27,8.035267522181716e-26,1.7128411765234373e-26,6.208218810034514e-27,3.4384684046389135e-25,9.812330275720673e-27,1.617156771046023e-26,7.486143555509512e-26,3.574391875904565e-26,9.725329058329685e-27,1.890926724434181e-26,8.415243542617611e-26,1.491735545655112e-26,1.2513055694008965e-25,9.942181606423378e-27,7.706031366692121e-27,1.1642099918710658e-25,1.1525832456491946e-26,2.4401907414125315e-26,2.308255662302943e-26,2.3274038338425872e-26,7.079009836305639e-27
Penerapan Metode Rough Set Dalam Menentukan Pembelian Smartphone Android Oleh Konsumen,6.110143366107552e-33,1.4103834237286956e-32,1.9037911256757226e-28,1.750704414553377e-33,1.2098865701304072e-32,3.9187017250344177e-32,9.385638634014846e-33,1.5189980901921964e-32,4.943455190118897e-34,4.347803064241395e-34,1.4092932755281902e-33,2.53284690321802e-33,7.288245221259295e-34,1.9182154888349272e-33,1.1902823955110281e-32,9.825817491766048e-34,8.428418318888131e-33,1.843695966283313e-33,5.394002702672554e-33,4.0874597637539325e-33,2.1056998984412118e-33,1.0536226198124893e-32,2.5758325518570463e-33,1.6885198506229452e-33,6.652599581001885e-33,2.5227718357504775e-34,3.255138682148e-33,8.596362863554892e-33,8.097339878422239e-33,3.667766561815583e-32,3.6322478859480187e-32,1.1450956684871116e-32,1.42654147137872e-33,2.550863333006643e-34,1.728528977633672e-34,3.194148797218696e-33,3.2822707425883473e-34,7.214770677073633e-33
Survey Paper Tantangan dan Peluang Kecerdasan Buatan dalam Bidang Islam Qur'an dan Hadits,1.684284262621638e-38,1.1353627913741259e-35,2.4444064429239527e-38,1.551849140301868e-36,3.211874920230277e-38,8.655511237211834e-38,6.010561425609728e-38,2.396535181270639e-37,1.6516672743416943e-36,3.2599375951384164e-37,7.715719934476565e-38,2.978485125746461e-38,2.4518775869160045e-38,2.809506142683648e-38,3.240354767858529e-37,2.2295162598519016e-38,2.3614638664927943e-38,2.862292229726077e-38,2.3224325197503193e-37,1.16916945802096e-37,3.7356163343066326e-38,1.7001398602055418e-37,8.788821540975277e-38,3.334546445979721e-38,8.313860832497808e-38,7.585543573259037e-38,1.9196966057810523e-38,2.8367257719751925e-38,7.362930751387935e-37,7.465314598502103e-38,1.7252883167542364e-37,7.150383426134656e-38,7.400221272111586e-38,2.1106961958823857e-37,3.477187393251086e-36,2.652111836185682e-38,3.358002517982811e-37,2.301737311354722e-37
… Tugas Akhir Menggunakan Fuzzy Multiple Attribute Decision Making dengan Simple Additive Weighting Studi Kasus Jurusan Teknik Informatika UIN SGD Bandung,5.6356762416524375e-64,1.854897905399155e-63,1.2443451782393885e-62,7.598536081730634e-62,3.451947718246297e-65,2.876485672166264e-63,1.6570472787239285e-64,2.480791182391792e-62,8.914170454742317e-64,3.4287477762071856e-62,2.7243353661882643e-65,1.4378174553315032e-65,1.5642857552539705e-64,2.913788773509412e-64,3.040110788346165e-61,6.9507485948241e-64,1.2614641856407843e-64,1.694013458422462e-64,5.300332156566541e-63,4.084598811486772e-66,2.884176217282077e-65,3.259691628426524e-64,3.8697691421897234e-64,6.907886428895052e-66,1.0390751829841089e-65,2.415943597898999e-63,1.9844965282268262e-60,4.542747886343122e-66,3.360930081243424e-61,6.796392926306169e-64,9.65716670479658e-61,7.094503098950483e-63,4.574365928456212e-64,3.396843530638147e-62,4.5521478376374614e-64,3.520001506405042e-64,7.914810108787247e-56,3.127930122198786e-64
PENERAPAN ALGORITMA FISHER-YATES SHUFFLE PADA GAME MENCOCOKKAN GAMBAR MONUMEN DUNIA,9.377523723453712e-24,2.0201500789860746e-21,1.1976245065022613e-22,7.5147676748151e-23,7.44975063529945e-24,1.2623974700297724e-22,2.4835808812010316e-22,1.7245759307227993e-22,1.519070296941518e-23,5.941182594892158e-24,5.6175502989778094e-24,6.662050040692893e-22,5.504115980391436e-23,1.8619653976623116e-23,1.6860486939658658e-22,5.984294359568848e-24,2.0090415258698474e-23,1.257189739099468e-22,2.8312384296929845e-23,2.4545304744278626e-23,4.1060085525967913e-22,1.2464360307158163e-22,2.6616763531520493e-22,4.016005057264139e-23,3.9130735870075983e-23,6.21763017895643e-24,1.948886842880075e-23,1.872768202398415e-23,3.589542588896005e-23,1.2491383399187531e-23,5.88982674215675e-24,1.2172485567203395e-23,6.126037991915611e-24,4.116455806708315e-23,4.363311691474552e-23,3.734371126254676e-22,2.266233806740158e-22,2.5866567509926962e-23
 Penerapan Finite State Machine pada Battle Game Berbasis Augmented Reality,1.0331354801537312e-57,1.5811428340167025e-46,1.778259693754306e-59,1.254784367700881e-57,3.471846416976364e-58,5.650602420089312e-59,2.618004385403471e-57,3.4216957218076095e-57,2.1166941043164742e-58,6.416248122261737e-58,4.1799473224083874e-58,1.7797716018127807e-58,1.7464986177441465e-58,3.513887473802981e-58,5.139476264795187e-57,2.9741343348638294e-58,9.278605818992477e-58,2.2372398523905615e-58,1.1506124337730752e-59,1.1574297189014264e-58,3.505075186769558e-59,2.172409148558135e-58,2.0496019010527466e-58,9.654482318758693e-60,4.4256045951677727e-57,1.6996255378369627e-59,8.813405070731386e-59,1.528102691250177e-57,8.807443275444851e-57,9.112576971324069e-58,1.4710483090135993e-59,3.107091829303259e-58,5.266531889806363e-58,8.381394206535987e-58,1.593392242652997e-57,5.823720114166535e-49,1.3434603784202707e-56,2.72829060948783e-49
 Perbandingan Metode Jaringan Syaraf Tiruan Backpropagation Dan Learning Vector Quantization Pada Pengenalan Wajah,4.024563441087161e-79,1.3407580991446282e-75,1.039525058337831e-78,9.90899011607777e-76,3.7914319441537065e-78,2.6981251227169663e-76,2.188017530826127e-78,5.708723212211408e-78,3.2643406162966894e-80,1.8494878631371583e-79,9.143135303844461e-82,8.850803070303939e-79,5.165276544199284e-78,4.172502916243217e-77,7.949332571932983e-71,3.111305819904931e-77,1.045310172732466e-75,4.762390707918511e-79,1.351714825118612e-58,1.001968160651879e-77,3.11563955177755e-77,1.4423353316551472e-73,6.870227076484089e-76,2.2396558461472304e-76,1.5475994774408036e-70,9.242976880098331e-81,2.3943920342652156e-80,8.580698709664147e-81,3.1212577227265034e-77,3.0423430436073227e-71,3.291522611527095e-79,8.21955794447458e-80,1.7504329166161565e-80,6.689483512527521e-78,7.592342141558904e-79,2.439164676384163e-79,8.656088785405808e-74,9.849588596651258e-77
 Penerapan data mining untuk memprediksi kriteria nasabah kredit,2.807742763935011e-51,5.99504651934726e-51,4.4779180794448276e-42,2.3742353460290512e-54,3.5483768293698913e-56,9.749330666526479e-45,1.0548389976162876e-48,5.216199777410584e-49,2.4962737378710557e-56,1.1295813858947187e-54,1.7520351676185706e-56,2.846857767989771e-52,1.6447954461291248e-51,1.62703411541701e-54,1.689423800149742e-55,4.925847470121363e-55,2.4267229495508992e-54,8.533658398375796e-53,7.798085689689623e-51,1.635893730179766e-54,1.0683373015447862e-54,3.3624233312962743e-56,2.7497766101384187e-56,3.7535910486511584e-56,6.072657191993652e-55,1.2656029957269011e-54,4.01738096793179e-52,2.1581366340775023e-55,1.7749154585314954e-56,2.9234271707916696e-50,1.9721125364309175e-56,6.2089165348798064e-55,2.3927412980158473e-53,2.30013313459289e-56,1.7700955382417666e-56,2.6624382806277493e-56,2.3945440803080018e-51,3.0389447776777394e-56
 Penerapan Data Mining Untuk Klasifikasi Prediksi Penyakit ISPA Infeksi Saluran Pernapasan Akut Dengan Algoritma Decision Tree ID3,3.11234583542171e-78,1.5788924736287438e-74,3.5599712411903285e-66,2.6628355238129513e-77,8.087356630741159e-75,2.8934782119457776e-64,4.353550752624038e-68,5.079360950321581e-74,1.5367182528807555e-81,1.6443596548576385e-80,9.143135303844461e-82,1.380601391169746e-76,1.8131027258025958e-76,1.2706863522901723e-78,1.569346269268918e-78,9.593694019609608e-81,2.9760723221377464e-80,1.315824047859133e-76,1.3046872605197317e-74,3.5926334563897964e-79,7.193895913815481e-78,3.177984575815907e-78,7.753939272165375e-78,4.790533182434715e-79,5.427023884235475e-76,1.942767207288942e-80,8.542860384641709e-76,5.419925780330727e-80,3.994540877279961e-78,6.131845169636956e-76,6.658621754818096e-81,4.631714114979933e-80,8.194353821895988e-79,4.6857033708705945e-81,9.281699759149503e-82,1.0419184697175022e-80,6.909886957315672e-75,7.74466612180002e-80
 Penerapan Data Mining Untuk Analisis Pola Pembelian Konsumen Dengan Algoritma Fp-Growth Pada Data Transaksi Penjualan Spare Part Motor,3.3471972577219617e-43,1.844031069513685e-42,2.079702149316352e-35,1.8635959098165114e-42,2.1089538120694935e-45,6.831697183890543e-36,1.2472149949973267e-40,1.5552497442347791e-40,7.194636175085301e-45,1.1183958908061547e-43,1.1991611117387351e-45,1.1626632172178928e-40,6.070274539539916e-42,7.399371403946848e-43,5.135972564330366e-43,4.4165382826873396e-43,4.6120468023917785e-43,5.603755387757815e-41,4.812616670654317e-40,4.25400824841029e-43,1.0927036738253382e-42,9.14586346670492e-44,1.6410146575735817e-44,5.255551083400278e-44,1.0260301541131162e-43,2.4822567126819264e-43,2.134024364803996e-42,1.8564588857847836e-44,1.4832838266004946e-44,3.737560669555221e-41,1.4564157857703754e-44,1.3021812857152124e-41,1.6061980265286734e-42,3.1893690186561914e-44,1.497733227089987e-44,3.6424085307616636e-45,1.7221380286251814e-43,4.0489579079298494e-45
Penerapan metode K-means untuk clustering mahasiswa berdasarkan nilai akademik dengan Weka Interface studi kasus pada jurusan Teknik Informatika UMM …,2.131923989260131e-90,3.9665107134000815e-84,6.374758605763288e-76,4.270164662618425e-83,5.1352042857978046e-92,2.0620478362064845e-79,9.244784748295898e-87,2.20936095192673e-84,1.6438903656029116e-90,2.4486115113533632e-88,4.957878849886079e-93,1.3900788804573194e-90,7.468758993278409e-89,7.259347060294106e-88,3.520156308161044e-83,3.317035317601376e-87,4.0853085041477485e-88,1.757458802605951e-86,2.089006443520797e-86,1.189411184023717e-90,3.529737191004808e-89,3.702003560506631e-89,1.0348164632906323e-86,2.254231614342499e-88,9.169336907099712e-89,1.6588784940803987e-82,1.5680967669467167e-80,5.634850571020061e-92,3.3621008179537013e-82,9.658327131416725e-89,3.384899628626457e-84,1.4211319575607893e-85,3.320830862351555e-86,1.2603126765876204e-83,4.53735606716097e-86,1.9306756409993187e-89,7.64180146034167e-84,4.383310089455459e-87
Penerapan Data Mining Untuk Menganalisis Penjualan Barang Dengan Menggunakan Metode Apriori Pada Supermarket Sejahtera Lhokseumawe,4.116691191712956e-37,1.069735640342546e-35,5.000431741232119e-32,5.2629336006013633e-36,5.236493692179703e-37,1.2934827615133395e-31,1.569964905925843e-34,4.0787101317396175e-34,2.0448814079620363e-37,1.7645038245561874e-37,2.0064762059912643e-38,3.6649697115625855e-36,1.1899186305039183e-36,2.2504810418776277e-37,1.7469320811462644e-37,6.8886774874267325e-37,3.854168617311075e-36,7.129814838030157e-36,7.487595028160984e-32,1.7003124482219714e-36,1.5801638699722057e-36,4.543834710664031e-37,2.7887723094928924e-37,4.34298378044414e-37,5.993283613349757e-37,2.4004869452918975e-37,5.363380835738713e-36,1.1532668327457273e-37,7.554790611866843e-38,7.0452510517088115e-34,3.7771039487165736e-37,2.869051795766107e-35,4.9205475809009925e-36,6.350232541900173e-38,1.6260645910203782e-37,4.1016369884581024e-38,8.494119340996272e-37,1.0812327445571528e-37
Penerapan Data Mining untuk Analisis Pengaruh Lama Studi Mahasiswa Teknik Informatika UIN Sunan Kalijaga Yogyakarta Menggunakan Metode Apriori,9.786004117519467e-53,1.2605263095902175e-50,9.945570874166103e-47,8.89947948696473e-50,1.146658332426775e-54,2.604188998399263e-47,2.9862126699451853e-50,8.336397888625252e-50,2.6559130168862307e-53,5.123260609552341e-52,1.877319206982745e-54,3.0246322313646653e-52,5.12492039651662e-52,8.702347507631782e-53,7.817233689929445e-51,3.3704812917560254e-52,3.44073651496325e-52,2.4818720847083336e-51,3.3205099725901436e-46,6.880371669093703e-53,2.1675702573674222e-52,1.47947993121969e-52,8.129575697325505e-53,2.662294851111886e-53,5.656257618399169e-54,5.030314545763883e-52,1.3758988849135772e-49,3.5492244697019066e-55,5.239108778671264e-50,6.952523709375088e-52,1.328422776192881e-51,1.1658527866156696e-49,2.972762781881534e-52,6.221821910279817e-50,4.762906144286259e-53,7.850423572036971e-54,5.995603164511808e-50,8.274305141509181e-53
