No Dosen,Nama Dosen,No Judul,Judul Jurnal,Kata Judul Jurnal Hasil Filter
2,"Agung Nugroho Pramudhita, S.T., M.T.",7,Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,saw
2,"Agung Nugroho Pramudhita, S.T., M.T.",7,Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,tempat
2,"Agung Nugroho Pramudhita, S.T., M.T.",7,Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,karyawan
2,"Agung Nugroho Pramudhita, S.T., M.T.",8,Smart Grid Untuk Efisiensi Konsumsi Listrik Pada Proses Produksi Di Industri Manufaktur,smart
2,"Agung Nugroho Pramudhita, S.T., M.T.",8,Smart Grid Untuk Efisiensi Konsumsi Listrik Pada Proses Produksi Di Industri Manufaktur,grid
2,"Agung Nugroho Pramudhita, S.T., M.T.",8,Smart Grid Untuk Efisiensi Konsumsi Listrik Pada Proses Produksi Di Industri Manufaktur,efisiensi
2,"Agung Nugroho Pramudhita, S.T., M.T.",8,Smart Grid Untuk Efisiensi Konsumsi Listrik Pada Proses Produksi Di Industri Manufaktur,konsumsi
2,"Agung Nugroho Pramudhita, S.T., M.T.",8,Smart Grid Untuk Efisiensi Konsumsi Listrik Pada Proses Produksi Di Industri Manufaktur,listrik
2,"Agung Nugroho Pramudhita, S.T., M.T.",8,Smart Grid Untuk Efisiensi Konsumsi Listrik Pada Proses Produksi Di Industri Manufaktur,proses
2,"Agung Nugroho Pramudhita, S.T., M.T.",8,Smart Grid Untuk Efisiensi Konsumsi Listrik Pada Proses Produksi Di Industri Manufaktur,produksi
2,"Agung Nugroho Pramudhita, S.T., M.T.",8,Smart Grid Untuk Efisiensi Konsumsi Listrik Pada Proses Produksi Di Industri Manufaktur,industri
2,"Agung Nugroho Pramudhita, S.T., M.T.",8,Smart Grid Untuk Efisiensi Konsumsi Listrik Pada Proses Produksi Di Industri Manufaktur,manufaktur
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,amal
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,jumlah
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,unjung
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,metode
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,double
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,exponential
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,smoothing
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,studi
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,kasus
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,body
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,gym
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,kota
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,malang
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,pakar
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,klasifikasi
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,candu
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,gadget
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,teori
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,arthurt
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,t
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,hovart
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,metode
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,naive
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,bayes
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,classifier
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,anak
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,sekolah
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,dasar
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,identifikasi
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,kualitas
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,strawberry
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,dasar
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,warna
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,tekstur
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,gray
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,level
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,co-occurrence
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,matrix
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,naive
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,bayes
2,"Agung Nugroho Pramudhita, S.T., M.T.",12,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,buat
2,"Agung Nugroho Pramudhita, S.T., M.T.",12,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,aplikasi
2,"Agung Nugroho Pramudhita, S.T., M.T.",12,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,layan
2,"Agung Nugroho Pramudhita, S.T., M.T.",12,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,laundry
2,"Agung Nugroho Pramudhita, S.T., M.T.",12,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,bas
2,"Agung Nugroho Pramudhita, S.T., M.T.",12,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,studi
2,"Agung Nugroho Pramudhita, S.T., M.T.",12,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,kasus
2,"Agung Nugroho Pramudhita, S.T., M.T.",12,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,bersih
2,"Agung Nugroho Pramudhita, S.T., M.T.",12,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,laundry
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,body
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,gym
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,kota
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,malang
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,amal
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,jumlah
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,unjung
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,metode
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,double
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,exponential
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,smoothing
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,analisis
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,amal
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,hadap
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,peluang
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,bisnis
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,tanah
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,pt
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,jnf
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,kota
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,malang
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,metode
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,double
