,indeks_1,indeks_2,No,Nama Dosen,Judul Jurnal,Kata Judul Jurnal Hasil Filter
20,20,21,3,"Ade Ismail, S.Kom., M.TI",DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,hyper
21,21,22,3,"Ade Ismail, S.Kom., M.TI",DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,converged
22,22,23,3,"Ade Ismail, S.Kom., M.TI",DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,infrastructure
23,23,24,3,"Ade Ismail, S.Kom., M.TI",DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,standar
24,24,25,3,"Ade Ismail, S.Kom., M.TI",DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,tia-942
25,25,26,3,"Ade Ismail, S.Kom., M.TI",DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,green
26,26,27,3,"Ade Ismail, S.Kom., M.TI",DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,campus
27,27,28,4,"Agung Nugroho Pramudhita, S.T., M.T.",Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,algoritma
28,28,29,4,"Agung Nugroho Pramudhita, S.T., M.T.",Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,multi
29,29,30,4,"Agung Nugroho Pramudhita, S.T., M.T.",Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,criteria
30,30,31,4,"Agung Nugroho Pramudhita, S.T., M.T.",Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,decision
31,31,32,4,"Agung Nugroho Pramudhita, S.T., M.T.",Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,making
32,32,33,4,"Agung Nugroho Pramudhita, S.T., M.T.",Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,metode
33,33,34,4,"Agung Nugroho Pramudhita, S.T., M.T.",Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,topsis
34,34,35,4,"Agung Nugroho Pramudhita, S.T., M.T.",Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,tempat
35,35,36,4,"Agung Nugroho Pramudhita, S.T., M.T.",Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,karyawan
36,36,37,5,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,dukung
37,37,38,5,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,putus
38,38,39,5,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,tentu
39,39,40,5,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,lokasi
40,40,41,5,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,bangun
41,41,42,5,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,terna
42,42,43,5,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,ayam
43,43,44,5,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,metode
44,44,45,5,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,moora
45,45,46,6,"Agung Nugroho Pramudhita, S.T., M.T.",Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,komparasi
46,46,47,6,"Agung Nugroho Pramudhita, S.T., M.T.",Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,algoritma
47,47,48,6,"Agung Nugroho Pramudhita, S.T., M.T.",Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,multi
48,48,49,6,"Agung Nugroho Pramudhita, S.T., M.T.",Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,criteria
49,49,50,6,"Agung Nugroho Pramudhita, S.T., M.T.",Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,decision
50,50,51,6,"Agung Nugroho Pramudhita, S.T., M.T.",Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,making
51,51,52,6,"Agung Nugroho Pramudhita, S.T., M.T.",Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,metode
52,52,53,6,"Agung Nugroho Pramudhita, S.T., M.T.",Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,ahp
53,53,54,6,"Agung Nugroho Pramudhita, S.T., M.T.",Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,saw
54,54,55,6,"Agung Nugroho Pramudhita, S.T., M.T.",Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,rangking
55,55,56,6,"Agung Nugroho Pramudhita, S.T., M.T.",Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,calon
56,56,57,6,"Agung Nugroho Pramudhita, S.T., M.T.",Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,karyawan
57,57,58,7,"Agung Nugroho Pramudhita, S.T., M.T.",Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,banding
58,58,59,7,"Agung Nugroho Pramudhita, S.T., M.T.",Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,metode
59,59,60,7,"Agung Nugroho Pramudhita, S.T., M.T.",Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,topsis
60,60,61,7,"Agung Nugroho Pramudhita, S.T., M.T.",Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,saw
61,61,62,7,"Agung Nugroho Pramudhita, S.T., M.T.",Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,tempat
62,62,63,7,"Agung Nugroho Pramudhita, S.T., M.T.",Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,karyawan
63,63,64,8,"Agung Nugroho Pramudhita, S.T., M.T.",SMART GRID UNTUK EFISIENSI KONSUMSI LISTRIK PADA PROSES PRODUKSI DI INDUSTRI MANUFAKTUR,smart
64,64,65,8,"Agung Nugroho Pramudhita, S.T., M.T.",SMART GRID UNTUK EFISIENSI KONSUMSI LISTRIK PADA PROSES PRODUKSI DI INDUSTRI MANUFAKTUR,grid
65,65,66,8,"Agung Nugroho Pramudhita, S.T., M.T.",SMART GRID UNTUK EFISIENSI KONSUMSI LISTRIK PADA PROSES PRODUKSI DI INDUSTRI MANUFAKTUR,efisiensi
66,66,67,8,"Agung Nugroho Pramudhita, S.T., M.T.",SMART GRID UNTUK EFISIENSI KONSUMSI LISTRIK PADA PROSES PRODUKSI DI INDUSTRI MANUFAKTUR,konsumsi
67,67,68,8,"Agung Nugroho Pramudhita, S.T., M.T.",SMART GRID UNTUK EFISIENSI KONSUMSI LISTRIK PADA PROSES PRODUKSI DI INDUSTRI MANUFAKTUR,listrik
68,68,69,8,"Agung Nugroho Pramudhita, S.T., M.T.",SMART GRID UNTUK EFISIENSI KONSUMSI LISTRIK PADA PROSES PRODUKSI DI INDUSTRI MANUFAKTUR,proses
69,69,70,8,"Agung Nugroho Pramudhita, S.T., M.T.",SMART GRID UNTUK EFISIENSI KONSUMSI LISTRIK PADA PROSES PRODUKSI DI INDUSTRI MANUFAKTUR,produksi
70,70,71,8,"Agung Nugroho Pramudhita, S.T., M.T.",SMART GRID UNTUK EFISIENSI KONSUMSI LISTRIK PADA PROSES PRODUKSI DI INDUSTRI MANUFAKTUR,industri
71,71,72,8,"Agung Nugroho Pramudhita, S.T., M.T.",SMART GRID UNTUK EFISIENSI KONSUMSI LISTRIK PADA PROSES PRODUKSI DI INDUSTRI MANUFAKTUR,manufaktur
72,72,73,9,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,amal
73,73,74,9,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,jumlah
74,74,75,9,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,unjung
75,75,76,9,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,metode
76,76,77,9,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,double
77,77,78,9,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,exponential
78,78,79,9,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,smoothing
79,79,80,9,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,studi
80,80,81,9,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,kasus
81,81,82,9,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,body
82,82,83,9,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,gym
83,83,84,9,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,kota
84,84,85,9,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,malang
85,85,86,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,pakar
86,86,87,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,klasifikasi
87,87,88,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,candu
88,88,89,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,gadget
89,89,90,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,teori
90,90,91,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,arthurt
91,91,92,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,t
92,92,93,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,hovart
93,93,94,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,metode
94,94,95,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,naive
95,95,96,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,bayes
96,96,97,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,classifier
97,97,98,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,anak
98,98,99,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,sekolah
99,99,100,10,"Agung Nugroho Pramudhita, S.T., M.T.",Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,dasar
100,100,101,11,"Agung Nugroho Pramudhita, S.T., M.T.",Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,identifikasi
101,101,102,11,"Agung Nugroho Pramudhita, S.T., M.T.",Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,kualitas
102,102,103,11,"Agung Nugroho Pramudhita, S.T., M.T.",Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,strawberry
103,103,104,11,"Agung Nugroho Pramudhita, S.T., M.T.",Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,dasar
104,104,105,11,"Agung Nugroho Pramudhita, S.T., M.T.",Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,warna
105,105,106,11,"Agung Nugroho Pramudhita, S.T., M.T.",Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,tekstur
106,106,107,11,"Agung Nugroho Pramudhita, S.T., M.T.",Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,gray
107,107,108,11,"Agung Nugroho Pramudhita, S.T., M.T.",Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,level
108,108,109,11,"Agung Nugroho Pramudhita, S.T., M.T.",Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,co-occurrence
109,109,110,11,"Agung Nugroho Pramudhita, S.T., M.T.",Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,matrix
110,110,111,11,"Agung Nugroho Pramudhita, S.T., M.T.",Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,naive
111,111,112,11,"Agung Nugroho Pramudhita, S.T., M.T.",Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,bayes
112,112,113,12,"Agung Nugroho Pramudhita, S.T., M.T.",PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,buat
113,113,114,12,"Agung Nugroho Pramudhita, S.T., M.T.",PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,aplikasi
114,114,115,12,"Agung Nugroho Pramudhita, S.T., M.T.",PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,layan
115,115,116,12,"Agung Nugroho Pramudhita, S.T., M.T.",PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,laundry
116,116,117,12,"Agung Nugroho Pramudhita, S.T., M.T.",PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,bas
117,117,118,12,"Agung Nugroho Pramudhita, S.T., M.T.",PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,studi
118,118,119,12,"Agung Nugroho Pramudhita, S.T., M.T.",PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,kasus
119,119,120,12,"Agung Nugroho Pramudhita, S.T., M.T.",PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,bersih
120,120,121,12,"Agung Nugroho Pramudhita, S.T., M.T.",PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,laundry
121,121,122,13,"Agung Nugroho Pramudhita, S.T., M.T.",SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,body
122,122,123,13,"Agung Nugroho Pramudhita, S.T., M.T.",SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,gym
123,123,124,13,"Agung Nugroho Pramudhita, S.T., M.T.",SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,kota
124,124,125,13,"Agung Nugroho Pramudhita, S.T., M.T.",SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,malang
125,125,126,13,"Agung Nugroho Pramudhita, S.T., M.T.",SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,amal
126,126,127,13,"Agung Nugroho Pramudhita, S.T., M.T.",SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,jumlah
127,127,128,13,"Agung Nugroho Pramudhita, S.T., M.T.",SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,unjung
128,128,129,13,"Agung Nugroho Pramudhita, S.T., M.T.",SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,metode
129,129,130,13,"Agung Nugroho Pramudhita, S.T., M.T.",SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,double
130,130,131,13,"Agung Nugroho Pramudhita, S.T., M.T.",SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,exponential
131,131,132,13,"Agung Nugroho Pramudhita, S.T., M.T.",SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,smoothing
132,132,133,14,"Agung Nugroho Pramudhita, S.T., M.T.",ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,analisis
133,133,134,14,"Agung Nugroho Pramudhita, S.T., M.T.",ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,amal
134,134,135,14,"Agung Nugroho Pramudhita, S.T., M.T.",ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,hadap
135,135,136,14,"Agung Nugroho Pramudhita, S.T., M.T.",ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,peluang
136,136,137,14,"Agung Nugroho Pramudhita, S.T., M.T.",ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,bisnis
137,137,138,14,"Agung Nugroho Pramudhita, S.T., M.T.",ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,tanah
138,138,139,14,"Agung Nugroho Pramudhita, S.T., M.T.",ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,pt
