No Judul,No Dosen,No Bidang,Judul,Nilai Prediksi
33,3,2,Implementasi Game Kuis Tebak Tangga Nada Jawa Dengan Metode Fisher-Yates Shuffle dan Fuzzy Tsukamoto Berbasis Android,6.022117572322145e-57
34,3,31,Sistem Pendukung Keputusan Rekomendasi Pembelian Mobil Keluarga Dengan Metode Topsis Dan Moora,7.2075304607731315e-50
35,3,31,Sistem Pendukung Keputusan Dengan Menerapkan Logika Fuzzy Dalam Menentukan Prioritas Calon Debitur,2.554187333129524e-36
36,3,33,Perancangan Sistem Penjualan Buku Secara Online Berbasis Web Dengan Menggunakan Kartu Kredit,2.812682574688715e-58
37,3,37,Pengukuran Intonasi Suara Bass Pria Pada Media Pembelajaran Paduan Suara Jarak Jauh,4.5431876863021904e-60
38,3,34,BUKU KAS BERBASIS WEBSITE PADA USAHA KATERING DI PANTI ASUHAN PUTRI AISYIYAH MALANG,7.850678818590716e-105
39,3,30,Sistem Informasi Peramalan Jumlah Produksi Ikan pada Dinas Perikanan Kab Malang Menggunakan Metode SARIMA,5.3435288189242534e-51
40,3,31,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN DOSEN BERPRESTASI JURUSAN TEKNOLOGI INFORMASI DI POLITEKNIK NEGERI MALANG,8.883011311970718e-57
41,3,33,PENGEMBANGAN SISTEM INFORMASI PEMESANAN JASA TOUR & TRAVEL DI CV CAHAYA TRAVEL BERBASIS WEBSITE,8.58499488140458e-56
42,3,2,GAME PETUALANGAN 2D MENGGUNAKAN METODE FINITE-STATE MACHINE,1.5118208348986317e-29
43,3,28,SISTEM INFORMASI PENGELOLAAN DATA KUNJUNGAN BEROBAT POLIKLINIK BERBASIS WEB DI POLITEKNIK NEGERI MALANG,6.64042652683904e-58
44,3,30,PERAMALAN DAERAH RAWAN KRIMINALITAS YANG ADA DI WILAYAH BATU MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING BERBASIS GIS STUDI KASUS KECAMATAN BATU,8.896842765797086e-109
45,3,30,SISTEM PERAMALAN DAN PEMANTAUAN JUMLAH PRODUKSI IKAN BERBASIS WEB DENGAN METODE Seasonal Autoregressive Integrated Moving Average SARIMASTUDI KASUS DINAS PERIKANAN KAB MALANG,5.082412292608495e-94
46,3,34,SISTEM PENGGAJIAN ONLINE DOSEN KONTRAK/LUAR BIASA BERBASIS WEBSITE STUDI KASUS POLITEKNIK NEGERI MALANG,1.709760184521978e-56
47,3,5,SPKK Penyakit Paru-Paru Guna Membantu Proses Anamnesa Berbasis Mobile,1.9596690245459647e-39
48,3,31,Implementasi Metode VIKOR pada Sistem Pendukung Keputusan Penerima Beasiswa PPA Studi Kasus Politeknik Negeri Malang,1.8041915992979687e-58
49,3,3,IMPLEMENTASI ANALISA KERANJANG BELANJA GUNA MENENTUKAN PAKET PRODUK DENGAN ALGORITMA FP-GROWTH,1.0171695709109133e-33
50,3,30,IMPLEMENTASI METODE TIME SERIES UNTUK MERAMALKAN PENJUALAN DAN PRODUKSI STUDI KASUS TOKO GERAI PRINT DI SIDOARJO,3.8345554783521935e-61
51,3,3,IMPLEMENTASI ALGORITMA APRIORI PADA PENGELOLAAN PERSEDIAAN OBAT STUDI KASUS DI APOTEK INA NUSANTARA KABUPATEN SITUBONDO,4.236771748350607e-31
52,3,36,GAME EDUKASI “SUPRIJADI DON’T LOSS YOUR TOWER” BERBASIS ANDROID,8.953918375553477e-23
53,3,36,RANCANG BANGUN GAME FIGHTING 2D “THE HISTORY OF GAJAH MADA” BERBASIS ANDROID,6.7833447200705e-47
54,3,36,RANCANG BANGUN GAME EDUKASI “SAVIOR OF PHOTOSYNTHESIS” 2D DENGAN FUZZY,1.140979062606845e-40
55,3,31,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN TUMBUHAN HERBAL UNTUK OBAT PENYAKIT DALAM DENGAN MENGGUNAKAN METODE AHP,1.2160947489304751e-26
56,3,28,PENCARIAN JALUR TERPENDEK UNTUK PENJEMPUTAN BARANG KIRIMAN PELANGGAN MITRA STUDI KASUS PADA KANTOR POS MALANG,6.781383418390074e-118
57,4,20,Perangkat Desa Melek Digital dan Kreatif Pelatihan Pengembangan Konten Digital Desa Ngijo Kabupaten Malang,1.0096418756641543e-162
58,4,7,Implementasi Naive Bayes Dan Pos Tagging Menggunakan Metode Hidden Markov Model Viterbi Pada Analisa Sentimen Terhadap Akun Twitter Presiden Joko Widodo Di Saat Pandemi COVID-19,2.552992446394829e-95
59,4,3,Spatio Temporal Clustering Titik Panas pada Lahan Gambut di Sumatera Menggunakan Proses Pengelompokan Poisson,7.284002193278685e-22
60,4,34,Pengembangan Sistem Informasi Alumni Berbasis Web Fakultas Sains Dan Teknologi Universitas Islam Negeri Maulana Malik Ibrahim Malang,4.401737551046912e-35
61,4,28,Pengembangan Aplikasi Dan Pelatihan Sistem Informasi TPQ Madinah Ma’arif 10 An-Nur Kota Malang,9.450766284121908e-90
62,4,28,Penerapan Sistem Informasi Administratif Desa Ngijo Kabupaten Malang menggunakan OpenSID,1.757915089360453e-44
63,4,28,Sistem Informasi Geografis Pemetaan Potensi Objek Wisata Pantai di Kabupaten Tulungagung,5.681870002386191e-31
64,4,3,Improvisasi Teknik Oversampling MWMOTE Untuk Penanganan Data Tidak Seimbang,1.9639723238739327e-48
65,4,31,Sistem Pendukung Keputusan Berbasis Website Dalam Menentukan Kelayakan Pembuatan Sertifikat Tanah Menggunakan Metode Analytic Network Process ANP,1.5561079265102757e-79
66,4,5,Sistem Pakar Diagnosa Penyakit Kelamin Menular Pada Laki-laki Dengan Metode Dempster Shafer,1.1187032900488835e-34
67,4,6,SPATIO-TEMPORAL DATA MINING PADA DATA HOTSPOT SEBAGAI INDIKATOR KEBAKARAN HUTAN DAN LAHAN GAMBUT DI PROVINSI RIAU,5.645439148989653e-30
68,5,7,Analisis Sentimen Pada Twitter Mengenai Pasca Bencana Menggunakan Metode Naïve Bayes Dengan Fitur N-Gram,3.4117846957097216e-66
69,5,31,SISTEM PENDUKUNG KEPUTUSAN SOLUSI KELAYAKAN PENERIMA BANTUAN BEDAH RUMAH MENGGUNAKAN METODE PROFILE MATCHING,1.0850844297618074e-54
70,5,3,Penerapa Metode Hierarchical Clustering Dan K-Means Clustering Untuk Mengelompokkan Potensi Lokasi Penjualan Linkaja,1.598115472658995e-51
71,5,5,Implementasi Backward Chaining untuk Diagnosis Low Soft Handover Success Rate pada Jaringan WCDMA,9.884410874350407e-21
72,5,37,Implementasi GraphQL Untuk Mengatasi Under-Fetching pada Pengembangan Sistem Informasi Pelacakan Alumni Politeknik Negeri,1.993409864212376e-21
73,5,27,DESAIN FRAMEWORK LINE CHATBOT MENGGUNAKAN NODEJS DAN MONGODB,2.1677432718770483e-40
74,5,38,APLIKASI PENGHITUNG KOLONI BAKTERI BERBASIS ANDROID,3.453117360400262e-26
75,5,3,PENGEMBANGAN SISTEM ANALISA KEBERPIHAKAN MEDIA ONLINE BERDASARKAN TREND WAKTU MENGGUNAKAN NAIVE BAYES CLASSIFIER,4.736328634372645e-32
76,5,6,Penentuan Bahan Makanan Untuk Itik Petelur Menggunakan Algoritma Genetika,5.956239149064168e-39
77,5,31,Sistem Pendukung Keputusan Penerima Kredit UKM Menggunakan Metode Weighted Aggregated Sum Product Assessment Studi Kasus BANK BPR Jatim Cabang Magetan,6.634035399556029e-89
78,5,18,Aplikasi Android dengan Online First Approach dan Local Database Cache,2.1998893309218225e-42
79,5,30,SISTEM PREDIKSI KEBUTUHAN PEGAWAI KATERING BERDASARKAN JUMLAH PESANAN MENGGUNAKAN METODE FUZZY TIME SERIES,9.497961118897456e-63
80,5,6,PENENTUAN BAHAN MAKANAN UNTUK ITIK PETELUR MENGGUNAKAN ALGORITMA GENETIKA,5.956239149064168e-39
81,5,30,SISTEM INFORMASI PERAMALAN PENJUALAN KAYU UNTUK MEBEL DENGAN METODE TREND MOMENT di UD MAULANA JATI JEPARA,8.554168254054121e-39
82,5,5,SISTEM PAKAR DIAGNOSA PENYAKIT AYAM PULLET MENGGUNAKAN METODE DEMPSTER SHAFER,8.73764767979843e-35
83,5,5,SISTEM PAKAR DIAGNOSIS PENYAKIT SAPI MENGGUNAKAN FUZZY INFERENCE TSUKAMOTO,2.256013074525437e-40
84,5,31,Pengembangan Sistem Pendukung Keputusan Pengolahan Pelanggaran Santri Menggunakan metode fuzzy AHP studi kasus pondok pesantren nurul islam antirogo sumbersari jember,2.990086820579333e-85
85,5,2,IMPLEMENTASI METODE FUZZY DAN FSM PADA GAME LEGEND OF DAMARWULAN,4.079019075883904e-29
86,5,30,PREDIKSI STOK PERTAMAX SPBU SINGOSARI MALANG MENGGUNAKAN METODE LEAST SQUARE,2.717991700348029e-38
87,5,36,PENGEMBANGAN GAME RPG EDUKATIF TOKOH PANGERAN DIPONEGORO DENGAN ALGORITMA PATHFINDING A* DAN LINEAR CONGRUENTIAL METHOD BERBASIS ANDROID,2.404320545806843e-83
88,5,5,Implementasi Backward Chaining Untuk Diagnosis Low Soft Handover Success Rate Pada Jaringan Wideband Code Division Multiple Access WCDMA,3.7514596731087357e-31
89,5,23,Aktivitas Repelan Minyak Atsiri Daun Jeruk Pontianak Citrus Nobilis Lour Terhadap Nyamuk Aedes Aegypti L Dengan Metode Whopes,1.1233594883917862e-24
90,6,2,Penerapan algoritma Fisher-Yates pada pengacakan soal game aritmatika,2.843489866649914e-47
91,6,32,Penerapan Metode Design Thinking Pada Perancangan User Interface Aplikasi Kotakku,3.1490925358476192e-46
92,6,23,IDENTIFIKASI KUALITAS DAUN BAYAM DENGAN GRAY LEVEL CO-OCCURRENCE MATRIX GLCM DAN YUV COLOR MOMENTS,4.139705591262386e-49
93,6,37,Pemrogaman Spreadsheet Untuk Pemodelan Kontrol Rangkaian Elektronika,3.193357187587878e-27
94,6,37,Penyusunan Strategi Pembelajaran Participatory Learning and Action untuk Meningkatkan Peran Mahasiswa Teknik Elektronika sebagai Agen Energi Photovoltaic,3.583801588980842e-42
95,6,32,evaluasi dan perancangan user interface dan user experience menggunakan metode heuristic evaluation dan human centered design pada website kabupaten jembrana,5.38762222842144e-64
96,6,31,IMPLEMENTASI APLIKASI PSIKOLOGI EKSPERIMEN UNTUK MENENTUKAN KONDISI KETAHANAN JIWA MENGGUNAKAN METODE FUZZY MAMDHANI,7.159237522762977e-43
97,6,6,PREDIKSI PERMINTAAN KEBUTUHAN CABAI DI KOTA BATU MENGGUNAKAN METODE EXTREME LEARNING MACHINE,9.908652432363572e-68
98,6,6,SISTEM PENENTU POLA MAKAN SAYUR DAN BUAH BERDASARKAN GOLONGAN DARAH DAN PENYAKIT,3.019138661781688e-60
99,6,31,Sistem Pendukung Keputusan Pembagian Zakat pada Masjid Menggunakan Metode Analytic Network Process,1.3459583980380842e-25
100,6,38,Media Pembelajaran sistem pencernaan Manusia untuk Siswa Sekolah Dasar berbasis Augmented Reality,1.1945108142052612e-52
101,6,3,REKOMENDASI JURUSAN PERGURUAN TINGGI BERDASARKAN BAKAT MINAT DAN NILAI RAPORT MENGGUNAKAN METODE K-NEAREST NEIGHBOR Studi Kasus SMAN 1 Kedungwaru,7.91078633607411e-48
102,6,34,Penerapan Pembelajaran Cooperative Learning Metode Think Pair Share untuk Matakuliah Pemrograman Komputer Pendidikan Tinggi Vokasi Teknik Elektronika,1.3981707331657877e-30
103,6,36,Pemanfaatan Kinect Sensor dalam Pengembangan Game Interaksi Fisik,3.4251705863431423e-14
104,6,2,GAME PENINGGALAN SEJARAH DI PULAU JAWA GENRE PETUALANGAN,6.088560534798923e-22
105,6,38,Desain Aplikasi Pendidikan Masyarakat Sadar Menanam Pohon Menggunakan Teknologi Augmented Reality,7.821846736269531e-63
106,6,37,Pengembangan bahan ajar pada kompetensi dasar pengelasan mata pelajaran sambungan dasar pengelasan plat untuk kelas XI teknik pemesinan di SMK pekerjaan umum PU Malang,1.9322310275431014e-55
107,7,5,Sistem Pakar Diagnosa 33 Macam Penyakit Kulit dan Kelamin dengan Metode Fuzzy Inference Tsukamoto,4.5179732475332005e-22
108,7,6,Optimasi Metode Discriminatively Regularized Least Square Classification Dengan Algoritma Genetika,2.8852937633355312e-24
109,8,19,Identifikasi Citra Tulisan Tangan Digital Menggunakan Convolutional Neural Network CNN,1.5039119479018644e-48
110,8,30,PENGEMBANGAN APLIKASI MOBILE PERAMALAN CUACA UNTUK PENENTUAN TANAMAN PANGAN MENGGUNAKAN METODE TRIPLE EXPONENTIAL SMOOTHING,1.9952835763024958e-32
111,8,23,Implementasi Metode Linear Discriminant Analysis Untuk Deteksi Kematangan Pada Buah Stroberi,2.4364118933892136e-52
112,8,25,Klasifikasi Mutu Telur Burung Puyuh Berdasarkan Warna dan Tekstur Menggunakan Metode K-Nearest Neighbor KNN dan Fusi Informasi,1.6872234705377153e-75
113,8,21,Identifikasi Kualitas Biji Jagung Manis Layak Jual dari Warna dan Tekstur Menggunakan HSV dan Gray Level Run Length Matrix GLRLM,3.199659098480268e-82
114,8,38,Identifikasi Komponen GUI pada Prototipe Aplikasi Mobile,4.958016193367392e-32
115,8,37,PENGEMBANGAN APLIKASI DEEP LEARNING PENGENALAN WAJAH PADA MEDIA ONLINE UNTUK MENGETAHUI KEHADIRAN MAHASISWA,2.3877745333218307e-36
116,8,35,Pelatihan Pembuatan Dan Penggunan Media Promosi Digital Pada PAP’A Catering,7.928570846893767e-69
117,8,27,RANCANG BANGUN SISTEM INFORMASI AKADEMIK MENGGUNAKAN FRAMEWORK CODEIGNITER PONPES MAHASISWA AL-KAUTSAR KOTA MALANG,1.497077931122959e-25
118,8,28,PEMETAAN DENGAN QGIS DAN PERHITUNGAN KORELASI FAKTOR YANG MEMPENGARUHI HASIL PRODUKSI PERTANIAN DENGAN PEARSON CORRELATION,1.0171678020374834e-62
119,8,31,ANALISIS RESIKO KANKER PAYUDARA BREAST CANCER MENGGUNAKAN FUZZY INFERENCE SYSTEM FIS MODEL MAMDANI,7.528517230981064e-60
120,8,33,SISTEM INFORMASI PELAYANAN HOTEL STUDI KASUS MOZZA INN SG17 TUBAN BERBASIS WEBSITE,2.3994672218301123e-19
121,8,3,IDENTIFIKASI BIBIT LELE UNGGUL BERDASARKAN GERAKNYA MENGGUNAKAN METODE PHASE ONLY CORRELATION,1.0879344513456466e-46
122,8,33,SISTEM INFORMASI PELAYANAN KESEHATAN DAN ANTRIAN PASIEN SECARA ONLINE PADA KLINIK ARTHA MEDIKA MALANG,1.7624073634457396e-50
123,8,7,Pengembangan Sistem Rekomendasi Kategori Cerita Pendek Menggunakan Naïve Bayes Classifier,4.8543831495827616e-30
124,8,4,Pengembangan Sistem Konversi Dokumen Undang-Undang Republik Indonesia dari Format Teks ke XML,2.9609255294746336e-54
125,8,2,Pengembangan Game Penyelamatan Hewan–hewan yang Terancam Punah Menggunakan Metode FSM FINITE STATE MACHINE dan Metode Fuzzy Logic,2.0639758379953064e-83
126,8,5,IDENTIFIKASI PENYAKIT CVPD Citrus Vein Phloem Degeneration PADA DAUN JERUK MENGGGUNAKAN OTSU TRESHOLD DAN PENGUKURAN CIRI FISIK SECARA OTOMATIS BERBASIS ANDROID,1.0217100206985113e-65
127,8,19,PENGENALAN IRIS MATA MENGGUNAKAN EKSTRAKSI FEATURE CUMMULATIVE-SUM,3.922610075181732e-17
128,9,3,Corporate governance kebijakan dividen dan nilai perusahaan studi empiris pada perusahaan nonkeuangan yang terdaftar di bursa efek Indonesia tahun 2006-2007,1.2316797043711522e-36
129,9,7,Pendugaan Perubahan Cadangan Karbon di Tambling Wildlife Nature Conservation Taman Nasional Bukit Barisan Selatan,1.764066372236279e-19
130,9,11,Implementasi Iot Pada Sistem Monitoring Dan Pengendali Sirkulasi Air Tanaman Hidroponik,8.065545481152608e-40
131,9,36,Pengembangan Game Edukasi Pengenalan Budaya Indonesia “Jelajah” Berbasis Android,3.832553578052056e-22
132,9,7,Implementasi metode naive bayes untuk intrusion detection system ids,3.107788556733263e-45
133,9,3,Implemntasi Fuzzy C-Means Untuk Prediksi Perilaku Mahasiswa Berdasarkan Jumlah Ketidakhadiran,6.097619055162152e-66
134,9,3,Penerapan Algoritma Apriori Dalam Menentukan Pola Pembelian Konsumen Di Kafe Hidden Toast And Float,1.469165742648503e-46
135,9,28,Aplikasi pencarian jalur terpendek untuk menemukan lokasi ATM di Kota Malang,1.0077687558358785e-23
136,9,32,Rancang Bangun Aplikasi Ujian Online Real TIME Dengan Menggunakan Aristektur Mean,1.3272456446333676e-66
137,9,12,Rancang Bangun Perangkat lunak Manajemen Database SQL Server Berbasis Web,2.8049587175098745e-32
138,9,3,Pengaruh Store Atmosphere Kualitas Pelayanan Dan Kualitas Produk Terhadap Keputusan Pembelian Studi pada mahasiswa konsumen produk dazzle di universitas sarjanawiyata …,4.853086281150275e-40
139,9,11,Implementasi Video Streaming Lalu Lintas Kendaraan Dengan Server Raspberry Pi Menggunakan Protokol H 264,2.8041096749036263e-60
140,9,31,Pengembangan Sistem Informasi Penentuan Mahasiswa Berprestasi Menggunakan Metode Promethee Studi Kasus Politeknik Negeri Malang,6.673118529219466e-64
141,9,37,Pengembangan Service Online Judge Untuk Matakuliah Algoritma Berbasis Rest Menggunakan Nodejs dan MongoDB,6.2765426876711764e-21
142,9,7,Optimasi Replacement Strategy Untuk Metode Progressive Cache Pada Content Centric Networking Ccn,3.02398700546466e-15
143,9,28,Optimasi biaya dan waktu jalur angkutan kota angkot Malang dengan metode ant colony berbasis perangkat android,1.6039178438655706e-63
144,9,17,Analisis Tax Avoidance Melalui Pinjaman Antar Related Party dan Pencegahannya di Indonesia,1.5571264875424853e-21
145,9,12,OPTIMASI PEMROSESAN ENKRIPSI DAN DEKRIPSI RSA PADA SINGLE BOARD COMPUTER SBC DENGAN PEMBAGIAN BEBAN KOMPUTASI DALAM SISTEM TERDISTRIBUSI,9.207128332111497e-74
146,9,36,Rancang Bangun Runner game 2d dengan Tema Pengenalan Kembali Lirik Lagu Daerah Menggunakan Algoritma Fisher-Yates Shuffle,1.6667053092645516e-64
147,9,34,Alkoholisis Minyak Jagung Zea Mays L Dengan Menggunakan Katalis NaOH Pada Tekanan 1 atm,2.333650374570311e-12
148,9,21,Analisis perbandingan algoritma rle dan huffman pada kompresi citra,5.650231416247162e-37
149,9,37,SIMULASI PEMBELAJARAN PENANGANAN KEBAKARAN HUTAN BERBASIS ANDROID,4.928093949609469e-31
150,9,35,PELATIHAN PEMBUATAN VIDEO PEMBELAJARAN BAGI GURU SD MAFAZA INTEGRATED SMART SCHOOL DAN SMK PGRI 3 MALANG,2.147467116090219e-173
151,9,32,Analisis Laporan Keuangan Untuk Mengukur Tingkat Profitabilitas Koperasi Daya Guna Mandiri Malang,4.878736101405622e-31
152,9,18,Optimalisasi Pemrosesan Distributed RSA Algorithm dengan Metode Penjadwalan Proses Pada Single Board Computer Cluster,3.8809796499608764e-75
153,9,11,Ekosistem Kandang Ayam Pintar Untuk Pertumbuhan Ayam Broiler Secara Optimal Menggunakan Fuzzy Pada Platform IoT,1.509307963896387e-70
154,9,3,Prediksi Banjir Lahar Dingin Pada Lereng Merapi Menggunakan Data Curah Hujan Dari Satelit,4.084431839529105e-25
155,9,7,KOMPOSISI DAN KEANEKARAGAMAN TUMBUHAN BAWAH DI KAWASAN YANG TERKENA DAN TIDAK TERKENA ERUPSI DI TAMAN NASIONAL GUNUNG MERAPI YOGYAKARTA,6.21437671330577e-33
156,9,27,Implementasi Automated Functional Ui Testing Untuk Mencapai Konsep Ci/Cd Terintegrasi Jenkins Menggunakan Framework Serenity Dengan Page Object Model Design Pattern Pada Ppdb Jatim,9.253181791172842e-39
157,9,30,IMPLEMENTASI METODE FUZZY TIME SERIES RUEY CHYN TSAUR UNTUK MENGUKUR POTENSI PENJUALAN PRODUK DI UD RAMA JAYA WATER HEATER,3.8139820327562923e-59
158,9,4,Aplikasi Chatbot untuk Reservasi Pijat Bayi dengan Metode Cosine Similarity,3.224626158084125e-38
159,9,7,KLASIFIKASI KALIMAT MENGANDUNG PERUNDUNGAN BENTUK TUBUH BODY SHAMING PADA MICROBLOGGING MENGGUNAKAN METODE SUPPORT VECTOR MACHINE,9.523003364814892e-36
160,9,4,Kendali Navigasi Slideshow Powerpoint Dengan Gerakan Tangan Menggunakan Metode Hidden Markov Model,9.025834017569486e-47
161,9,38,MEDIA PEMBELAJARAN INTERAKTIF TERHADAP GWK CUTURE PARK MENGGUNAKAN TEKNOLOGI AUGMENTED REALITY,3.605646538361299e-37
162,9,4,Optimalisasi Image Thresholding Pada Optical Character Recognition Pada Sistem Digitalisasi dan Pencarian Dokumen,6.669278999484569e-55
163,9,38,Aplikasi Akses Pengawasan Browser Berbasis Android,4.6618391909002615e-30
164,9,11,PENERAPAN TEKNOLOGI NFC UNTUK SISTEM KEAMANAN AKSES PINTU KELAS MENGGUNAKAN RASPBERRY PI,6.959996372114444e-50
165,9,2,PENERAPAN ARTIFICIAL INTELLIGENCE PADA GAME 2D CAT VS DOG MENGGUNAKAN FINITE STATE MACHINE BERBASIS ANDROID,4.317494973679667e-87
166,9,5,IMPLEMENTASI MENENTUKAN FAKTOR UTAMA PADA PENYAKIT KANKER DARAH MENGGUNAKAN METODE TWO SAMPLE T-TEST,1.4424376382751206e-23
167,9,31,SISTEM PENDUKUNG KEPUTUSAN PENENTUAN CALON KARYAWAN BARU POSISI CALL CENTER 147 MENGGUNAKAN METODE PROMETHEE Studi Kasus PT Infomedia Solusi Humanika Telkom Group,7.371426229303434e-47
168,9,3,PENGEMBANGAN SISTEM CLUSTERING SELF-ORGANIZING MAP UNTUK MENENTUKAN PEMBAGIAN KELAS STUDI KASUS SMAN 1 DURENAN,1.774046978607918e-55
169,9,31,PENGARUH HARGA PROMOSI DAN KUALITAS PRODUK TERHADAP KEPUTUSAN PEMBELIAN POPOK POKANA PANTS,1.4182700629559302e-26
170,9,36,Implementasi Game Herbs Rescue Pada Aplikasi Ensiklopedia Tanaman Obat Tradisional Indonesia Herbar,9.092789863236512e-20
171,9,31,ANALISIS PENGARUH HARGA KUALITAS PRODUK DAN PROMOSI TERHADAP KEPUTUSAN PEMBELIAN MINUMAN TEH KEMASAN TEH BOTOL SOSRO,1.2458774779963868e-36
172,9,4,IMPLEMENTASI METODE AGGLOMERATIVE HIERARCHICAL CLUSTERING PADA INTRUSION DETECTION SYSTEM BERBASIS SNORT,2.4837007079440642e-58
173,9,4,IMPLEMENTASI METODE AGGLOMERATIVE HIERARCHICAL CLUSTERING PADA INTRUSION DETECTION SYSTEM BERBASIS SNORT,2.4837007079440642e-58
174,9,32,SISTEM INFORMASI MANAJEMEN PERGUDANGAN DI CV GRAHA EKSOTIKA BERBASIS WEBSERVICE,1.9114305901616683e-14
175,9,31,PENGEMBANGAN SISTEM PENDUKUNG KEPUTUSAN PENENTUAN KELAYAKAN LOKASI CABANG BARU USAHA CLOTHING MENGGUNAKAN METODE AHP-TOPSIS,1.6516390656808016e-61
