No,No Grup Riset,Grup Riset,No Bidang,Bidang,Judul Jurnal,Kata Judul Jurnal Hasil Filter
2,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Visualisasi Peta Rss Fingerprint Dalam Fase Offline Pada Localization Di Lantai 3 Gedung Teknik Elektro UGM Menggunakan Wlan,ugm
2,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Visualisasi Peta Rss Fingerprint Dalam Fase Offline Pada Localization Di Lantai 3 Gedung Teknik Elektro UGM Menggunakan Wlan,wlan
3,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,pengaruh
3,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,profitabilitas
3,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,solvabilitas
3,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,ukur
3,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,usaha
3,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,hadap
3,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,audit
3,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,delay
3,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,reputasi
3,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,kap
3,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,bagai
3,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,pemoderasi
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,machine
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,learning
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,estimasi
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,posisi
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,objek
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,bas
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,rss
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,fingerprint
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,ieee
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,80211
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,g
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,lantai
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,3
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,gedung
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,jteti
4,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,ugm
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,analisis
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,layak
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,cloud
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,computing
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,metode
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,ranti
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,s
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,generic
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,is
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,it
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,bussiness
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,value
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,badan
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,usaha
5,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data, Analisis Kelayakan Implementasi Cloud Computing dengan Metode Ranti's Generic IS/IT Bussiness Value pada Badan Pengusahaan Batam,batam
6,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Penambangan Proses Yang Mendukung Penilaian Perangkat Lunak Dengan Cobit4 1,tambang
6,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Penambangan Proses Yang Mendukung Penilaian Perangkat Lunak Dengan Cobit4 1,proses
6,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Penambangan Proses Yang Mendukung Penilaian Perangkat Lunak Dengan Cobit4 1,yang
6,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Penambangan Proses Yang Mendukung Penilaian Perangkat Lunak Dengan Cobit4 1,dukung
6,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Penambangan Proses Yang Mendukung Penilaian Perangkat Lunak Dengan Cobit4 1,nilai
6,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Penambangan Proses Yang Mendukung Penilaian Perangkat Lunak Dengan Cobit4 1,perangkat
6,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Penambangan Proses Yang Mendukung Penilaian Perangkat Lunak Dengan Cobit4 1,lunak
6,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Penambangan Proses Yang Mendukung Penilaian Perangkat Lunak Dengan Cobit4 1,cobit4
6,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Penambangan Proses Yang Mendukung Penilaian Perangkat Lunak Dengan Cobit4 1,1
7,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH UKURAN PERUSAHAAN PROFITABILITAS LEVERAGE DAN STATUS PERUSAHAAN TERHADAP RATA-RATA VOLUME PERDAGANGAN SAHAM …,pengaruh
7,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH UKURAN PERUSAHAAN PROFITABILITAS LEVERAGE DAN STATUS PERUSAHAAN TERHADAP RATA-RATA VOLUME PERDAGANGAN SAHAM …,ukur
7,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH UKURAN PERUSAHAAN PROFITABILITAS LEVERAGE DAN STATUS PERUSAHAAN TERHADAP RATA-RATA VOLUME PERDAGANGAN SAHAM …,usaha
7,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH UKURAN PERUSAHAAN PROFITABILITAS LEVERAGE DAN STATUS PERUSAHAAN TERHADAP RATA-RATA VOLUME PERDAGANGAN SAHAM …,profitabilitas
7,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH UKURAN PERUSAHAAN PROFITABILITAS LEVERAGE DAN STATUS PERUSAHAAN TERHADAP RATA-RATA VOLUME PERDAGANGAN SAHAM …,leverage
7,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH UKURAN PERUSAHAAN PROFITABILITAS LEVERAGE DAN STATUS PERUSAHAAN TERHADAP RATA-RATA VOLUME PERDAGANGAN SAHAM …,status
7,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH UKURAN PERUSAHAAN PROFITABILITAS LEVERAGE DAN STATUS PERUSAHAAN TERHADAP RATA-RATA VOLUME PERDAGANGAN SAHAM …,usaha
7,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH UKURAN PERUSAHAAN PROFITABILITAS LEVERAGE DAN STATUS PERUSAHAAN TERHADAP RATA-RATA VOLUME PERDAGANGAN SAHAM …,hadap
7,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH UKURAN PERUSAHAAN PROFITABILITAS LEVERAGE DAN STATUS PERUSAHAAN TERHADAP RATA-RATA VOLUME PERDAGANGAN SAHAM …,rata
7,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH UKURAN PERUSAHAAN PROFITABILITAS LEVERAGE DAN STATUS PERUSAHAAN TERHADAP RATA-RATA VOLUME PERDAGANGAN SAHAM …,volume
7,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH UKURAN PERUSAHAAN PROFITABILITAS LEVERAGE DAN STATUS PERUSAHAAN TERHADAP RATA-RATA VOLUME PERDAGANGAN SAHAM …,dagang
7,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,PENGARUH UKURAN PERUSAHAAN PROFITABILITAS LEVERAGE DAN STATUS PERUSAHAAN TERHADAP RATA-RATA VOLUME PERDAGANGAN SAHAM …,saham
8,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,ANALISIS RASIO KEUANGAN TERHADAP FINANCIAL DISTRESS DENGAN STRUKTUR KEPEMILIKAN SEBAGAI VARIABEL MODERASI,analisis
8,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,ANALISIS RASIO KEUANGAN TERHADAP FINANCIAL DISTRESS DENGAN STRUKTUR KEPEMILIKAN SEBAGAI VARIABEL MODERASI,rasio
8,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,ANALISIS RASIO KEUANGAN TERHADAP FINANCIAL DISTRESS DENGAN STRUKTUR KEPEMILIKAN SEBAGAI VARIABEL MODERASI,uang
8,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,ANALISIS RASIO KEUANGAN TERHADAP FINANCIAL DISTRESS DENGAN STRUKTUR KEPEMILIKAN SEBAGAI VARIABEL MODERASI,hadap
8,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,ANALISIS RASIO KEUANGAN TERHADAP FINANCIAL DISTRESS DENGAN STRUKTUR KEPEMILIKAN SEBAGAI VARIABEL MODERASI,financial
8,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,ANALISIS RASIO KEUANGAN TERHADAP FINANCIAL DISTRESS DENGAN STRUKTUR KEPEMILIKAN SEBAGAI VARIABEL MODERASI,distress
8,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,ANALISIS RASIO KEUANGAN TERHADAP FINANCIAL DISTRESS DENGAN STRUKTUR KEPEMILIKAN SEBAGAI VARIABEL MODERASI,struktur
8,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,ANALISIS RASIO KEUANGAN TERHADAP FINANCIAL DISTRESS DENGAN STRUKTUR KEPEMILIKAN SEBAGAI VARIABEL MODERASI,milik
8,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,ANALISIS RASIO KEUANGAN TERHADAP FINANCIAL DISTRESS DENGAN STRUKTUR KEPEMILIKAN SEBAGAI VARIABEL MODERASI,bagai
8,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,ANALISIS RASIO KEUANGAN TERHADAP FINANCIAL DISTRESS DENGAN STRUKTUR KEPEMILIKAN SEBAGAI VARIABEL MODERASI,variabel
8,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,ANALISIS RASIO KEUANGAN TERHADAP FINANCIAL DISTRESS DENGAN STRUKTUR KEPEMILIKAN SEBAGAI VARIABEL MODERASI,moderasi
9,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Manajemen Risiko Pembiayaan Kepemilikan Rumah Kpr Griya Ib Hasanah pada Bank Bni Syariah,manajemen
9,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Manajemen Risiko Pembiayaan Kepemilikan Rumah Kpr Griya Ib Hasanah pada Bank Bni Syariah,risiko
9,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Manajemen Risiko Pembiayaan Kepemilikan Rumah Kpr Griya Ib Hasanah pada Bank Bni Syariah,biaya
9,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Manajemen Risiko Pembiayaan Kepemilikan Rumah Kpr Griya Ib Hasanah pada Bank Bni Syariah,milik
9,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Manajemen Risiko Pembiayaan Kepemilikan Rumah Kpr Griya Ib Hasanah pada Bank Bni Syariah,rumah
9,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Manajemen Risiko Pembiayaan Kepemilikan Rumah Kpr Griya Ib Hasanah pada Bank Bni Syariah,kpr
9,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Manajemen Risiko Pembiayaan Kepemilikan Rumah Kpr Griya Ib Hasanah pada Bank Bni Syariah,griya
9,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Manajemen Risiko Pembiayaan Kepemilikan Rumah Kpr Griya Ib Hasanah pada Bank Bni Syariah,ib
9,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Manajemen Risiko Pembiayaan Kepemilikan Rumah Kpr Griya Ib Hasanah pada Bank Bni Syariah,hasanah
9,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Manajemen Risiko Pembiayaan Kepemilikan Rumah Kpr Griya Ib Hasanah pada Bank Bni Syariah,bank
9,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Manajemen Risiko Pembiayaan Kepemilikan Rumah Kpr Griya Ib Hasanah pada Bank Bni Syariah,bni
9,1,Sistem Cerdas,1,Skalabilitas dan Analitik Data,Manajemen Risiko Pembiayaan Kepemilikan Rumah Kpr Griya Ib Hasanah pada Bank Bni Syariah,syariah
10,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan, Konsep kecerdasan buatan dengan pemahaman logika fuzzy dan penerapan aplikasi,konsep
10,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan, Konsep kecerdasan buatan dengan pemahaman logika fuzzy dan penerapan aplikasi,cerdas
10,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan, Konsep kecerdasan buatan dengan pemahaman logika fuzzy dan penerapan aplikasi,buat
10,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan, Konsep kecerdasan buatan dengan pemahaman logika fuzzy dan penerapan aplikasi,paham
10,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan, Konsep kecerdasan buatan dengan pemahaman logika fuzzy dan penerapan aplikasi,logika
10,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan, Konsep kecerdasan buatan dengan pemahaman logika fuzzy dan penerapan aplikasi,fuzzy
10,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan, Konsep kecerdasan buatan dengan pemahaman logika fuzzy dan penerapan aplikasi,aplikasi
11,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Penerapan Kecerdasan Buatan Pada Game “Air Strike Stta” Berbasis Client Server Pada Android,cerdas
11,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Penerapan Kecerdasan Buatan Pada Game “Air Strike Stta” Berbasis Client Server Pada Android,buat
11,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Penerapan Kecerdasan Buatan Pada Game “Air Strike Stta” Berbasis Client Server Pada Android,game
11,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Penerapan Kecerdasan Buatan Pada Game “Air Strike Stta” Berbasis Client Server Pada Android,air
11,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Penerapan Kecerdasan Buatan Pada Game “Air Strike Stta” Berbasis Client Server Pada Android,strike
11,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Penerapan Kecerdasan Buatan Pada Game “Air Strike Stta” Berbasis Client Server Pada Android,stta
11,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Penerapan Kecerdasan Buatan Pada Game “Air Strike Stta” Berbasis Client Server Pada Android,bas
11,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Penerapan Kecerdasan Buatan Pada Game “Air Strike Stta” Berbasis Client Server Pada Android,client
11,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Penerapan Kecerdasan Buatan Pada Game “Air Strike Stta” Berbasis Client Server Pada Android,server
12,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Survey Paper Tantangan dan Peluang Kecerdasan Buatan dalam Bidang Islam Qur'an dan Hadits,survey
12,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Survey Paper Tantangan dan Peluang Kecerdasan Buatan dalam Bidang Islam Qur'an dan Hadits,paper
12,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Survey Paper Tantangan dan Peluang Kecerdasan Buatan dalam Bidang Islam Qur'an dan Hadits,tantang
12,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Survey Paper Tantangan dan Peluang Kecerdasan Buatan dalam Bidang Islam Qur'an dan Hadits,peluang
12,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Survey Paper Tantangan dan Peluang Kecerdasan Buatan dalam Bidang Islam Qur'an dan Hadits,cerdas
12,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Survey Paper Tantangan dan Peluang Kecerdasan Buatan dalam Bidang Islam Qur'an dan Hadits,buat
12,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Survey Paper Tantangan dan Peluang Kecerdasan Buatan dalam Bidang Islam Qur'an dan Hadits,bidang
12,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,Survey Paper Tantangan dan Peluang Kecerdasan Buatan dalam Bidang Islam Qur'an dan Hadits,islam
