No Judul,No Dosen,No Bidang,Judul,Nilai Prediksi
70,5,30,PREDIKSI STOK PERTAMAX SPBU SINGOSARI MALANG MENGGUNAKAN METODE LEAST SQUARE,2.623594911989412e-38
71,5,36,PENGEMBANGAN GAME RPG EDUKATIF TOKOH PANGERAN DIPONEGORO DENGAN ALGORITMA PATHFINDING A* DAN LINEAR CONGRUENTIAL METHOD BERBASIS ANDROID,2.049159003688068e-83
72,5,5,Implementasi Backward Chaining Untuk Diagnosis Low Soft Handover Success Rate Pada Jaringan Wideband Code Division Multiple Access WCDMA,3.511690465647062e-31
73,5,23,Aktivitas Repelan Minyak Atsiri Daun Jeruk Pontianak Citrus Nobilis Lour Terhadap Nyamuk Aedes Aegypti L Dengan Metode Whopes,1.1148374638433394e-24
74,6,2,Penerapan Algoritma Fisher-Yates pada Pengacakan Soal Game Aritmatika,2.7398470500813957e-47
75,6,37,Pemrogaman Spreadsheet Untuk Pemodelan Kontrol Rangkaian Elektronika,3.152402801205228e-27
76,6,37,Penyusunan Strategi Pembelajaran Participatory Learning and Action untuk Meningkatkan Peran Mahasiswa Teknik Elektronika sebagai Agen Energi Photovoltaic,3.5094135031342e-42
77,6,23,IDENTIFIKASI KUALITAS DAUN BAYAM DENGAN GRAY LEVEL CO-OCCURRENCE MATRIX GLCM DAN YUV COLOR MOMENTS,4.0771346020408695e-49
78,6,32,evaluasi dan perancangan user interface dan user experience menggunakan metode heuristic evaluation dan human centered design pada website kabupaten jembrana,4.168132795477437e-64
79,6,31,IMPLEMENTASI APLIKASI PSIKOLOGI EKSPERIMEN UNTUK MENENTUKAN KONDISI KETAHANAN JIWA MENGGUNAKAN METODE FUZZY MAMDHANI,6.318255150449171e-43
80,6,6,PREDIKSI PERMINTAAN KEBUTUHAN CABAI DI KOTA BATU MENGGUNAKAN METODE EXTREME LEARNING MACHINE,9.71519902352224e-68
81,6,6,SISTEM PENENTU POLA MAKAN SAYUR DAN BUAH BERDASARKAN GOLONGAN DARAH DAN PENYAKIT,2.966036259422231e-60
82,6,31,Sistem Pendukung Keputusan Pembagian Zakat pada Masjid Menggunakan Metode Analytic Network Process,1.2532001268130967e-25
83,6,38,Media Pembelajaran sistem pencernaan Manusia untuk Siswa Sekolah Dasar berbasis Augmented Reality,9.913303814614993e-53
84,6,3,REKOMENDASI JURUSAN PERGURUAN TINGGI BERDASARKAN BAKAT MINAT DAN NILAI RAPORT MENGGUNAKAN METODE K-NEAREST NEIGHBOR Studi Kasus SMAN 1 Kedungwaru,7.703756569277053e-48
85,6,34,Penerapan Pembelajaran Cooperative Learning Metode Think Pair Share untuk Matakuliah Pemrograman Komputer Pendidikan Tinggi Vokasi Teknik Elektronika,1.3220381144631777e-30
86,6,36,Pemanfaatan Kinect Sensor dalam Pengembangan Game Interaksi Fisik,3.3419712707636075e-14
87,6,36,GAME PENINGGALAN SEJARAH DI PULAU JAWA GENRE PETUALANGAN,4.468273810013686e-41
88,6,38,Desain Aplikasi Pendidikan Masyarakat Sadar Menanam Pohon Menggunakan Teknologi Augmented Reality,6.491388957389576e-63
89,6,37,Pengembangan Bahan Ajar Pada Kompetensi Dasar Pengelasan Mata Pelajaran Sambungan Dasar Pengelasan Pelat Untuk Kelas XI Teknik Pemesinan Di SMK Pekerjaan Umum Malang,9.047946318179192e-52
90,7,5,Sistem Pakar Diagnosa 33 Macam Penyakit Kulit dan Kelamin dengan Metode Fuzzy Inference Tsukamoto,4.260364117840064e-22
91,7,6,Optimasi Metode Discriminatively Regularized Least Square Classification Dengan Algoritma Genetika,2.8654512518383412e-24
92,8,23,IMPLEMENTASI METODE LINEAR DISCRIMINANT ANALYSIS UNTUK DETEKSI KEMATANGAN PADA BUAH STROBERI,2.394370698571179e-52
93,8,30,PENGEMBANGAN APLIKASI MOBILE PERAMALAN CUACA UNTUK PENENTUAN TANAMAN PANGAN MENGGUNAKAN METODE TRIPLE EXPONENTIAL SMOOTHING,1.931668333736056e-32
94,8,35,Pelatihan Pembuatan Dan Penggunan Media Promosi Digital Pada PAP’A Catering,7.773097117579471e-69
95,8,28,PEMETAAN DENGAN QGIS DAN PERHITUNGAN KORELASI FAKTOR YANG MEMPENGARUHI HASIL PRODUKSI PERTANIAN DENGAN PEARSON CORRELATION,6.961658016823824e-63
96,8,31,ANALISIS RESIKO KANKER PAYUDARA BREAST CANCER MENGGUNAKAN FUZZY INFERENCE SYSTEM FIS MODEL MAMDANI,6.411124848505716e-60
97,8,21,Identifikasi Kualitas Biji Jagung Manis Layak Jual dari Warna dan Tekstur Menggunakan HSV dan Gray Level Run Length Matrix GLRLM,3.145750979891008e-82
98,8,33,SISTEM INFORMASI PELAYANAN HOTEL STUDI KASUS MOZZA INN SG17 TUBAN BERBASIS WEBSITE,2.3445870496370823e-19
99,8,3,IDENTIFIKASI BIBIT LELE UNGGUL BERDASARKAN GERAKNYA MENGGUNAKAN METODE PHASE ONLY CORRELATION,1.0613373132794652e-46
100,8,38,IDENTIFIKASI KOMPONEN GUI PADA PROTOTIPE APLIKASI MOBILE,4.5167089490302176e-32
101,8,7,Pengembangan Sistem Rekomendasi Kategori Cerita Pendek Menggunakan Naïve Bayes Classifier,4.8106450399937144e-30
102,8,19,Identifikasi Citra Tulisan Tangan Digital Menggunakan Convolutional Neural Network CNN,1.4854886699121208e-48
103,8,4,Pengembangan Sistem Konversi Dokumen Undang-Undang Republik Indonesia dari Format Teks ke XML,2.7483220638378987e-54
104,8,2,Pengembangan Game Penyelamatan Hewan–hewan yang Terancam Punah Menggunakan Metode FSM FINITE STATE MACHINE dan Metode Fuzzy Logic,1.925767825503906e-83
105,8,5,IDENTIFIKASI PENYAKIT CVPD Citrus Vein Phloem Degeneration PADA DAUN JERUK MENGGGUNAKAN OTSU TRESHOLD DAN PENGUKURAN CIRI FISIK SECARA OTOMATIS BERBASIS ANDROID,8.822370881959542e-66
106,8,19,PENGENALAN IRIS MATA MENGGUNAKAN EKSTRAKSI FEATURE CUMMULATIVE-SUM,3.907529868547075e-17
107,9,3,Corporate governance kebijakan dividen dan nilai perusahaan studi empiris pada perusahaan nonkeuangan yang terdaftar di bursa efek Indonesia tahun 2006-2007,1.2079582080045852e-36
108,9,7,Pendugaan Perubahan Cadangan Karbon di Tambling Wildlife Nature Conservation Taman Nasional Bukit Barisan Selatan,1.7552184591971669e-19
109,9,36,Pengembangan Game Edukasi Pengenalan Budaya Indonesia “Jelajah” Berbasis Android,3.648625150753138e-22
110,9,11,Implementasi Iot Pada Sistem Monitoring Dan Pengendali Sirkulasi Air Tanaman Hidroponik,7.490599586047611e-40
111,9,3,Implemntasi Fuzzy C-Means Untuk Prediksi Perilaku Mahasiswa Berdasarkan Jumlah Ketidakhadiran,5.875385180402057e-66
112,9,7,Implementasi metode naive bayes untuk intrusion detection system ids,3.064340217661219e-45
113,9,31,Pengembangan Sistem Informasi Penentuan Mahasiswa Berprestasi Menggunakan Metode Promethee Studi Kasus Politeknik Negeri Malang,5.483375929697575e-64
114,9,28,Aplikasi pencarian jalur terpendek untuk menemukan lokasi ATM di Kota Malang,8.514709087947187e-24
115,9,7,Optimasi Replacement Strategy Untuk Metode Progressive Cache Pada Content Centric Networking Ccn,3.011847135312231e-15
116,9,9,Strategi Pengembangan Usaha Budidaya Ikan Kerapu di Desa Labuhan Kecamatan Brondong Kabupaten Lamongan Jawa Timur,4.848741189401426e-38
117,9,17,Analisis tax avoidance melalui pinjaman antar related party dan pencegahannya di Indonesia,1.540212376697307e-21
118,9,36,RANCANG BANGUN RUNNER GAME 2D DENGAN TEMA PENGENALAN KEMBALI LIRIK LAGU DAERAH MENGGUNAKAN ALGORITMA FISHER-YATES SHUFFLE,1.473877368804982e-64
119,9,21,Analisis perbandingan algoritma rle dan huffman pada kompresi citra,5.594504191330775e-37
120,9,11,Implementasi Video Streaming Lalu Lintas Kendaraan Dengan Server Raspberry Pi Menggunakan Protokol H 264,2.549772903298626e-60
121,9,28,Optimasi Biaya dan Waktu Jalur Angkutan Kota Angkot Malang dengan Metode Ant Colony Berbasis Perangkat Android,1.0524571700471214e-63
122,9,32,Rancang Bangun Aplikasi Ujian Online Real TIME Dengan Menggunakan Aristektur Mean,1.0137314969158842e-66
123,9,37,SIMULASI PEMBELAJARAN PENANGANAN KEBAKARAN HUTAN BERBASIS ANDROID,4.849218311064426e-31
124,9,37,Optimasi Dimensi Tebal Awal Pelat Pada Proses Pembengkokan Bentuk Jogged Flange Dengan Simulasi Tiga Dimensi,2.8434644857973083e-28
125,9,12,Rancang Bangun Perangkat lunak Manajemen Database SQL Server Berbasis Web,2.7085398708401257e-32
126,9,3,Prediksi Banjir Lahar Dingin pada Lereng Merapi menggunakan Data Curah Hujan dari Satelit,4.0270701760573065e-25
127,9,30,IMPLEMENTASI METODE FUZZY TIME SERIES RUEY CHYN TSAUR UNTUK MENGUKUR POTENSI PENJUALAN PRODUK DI UD RAMA JAYA WATER HEATER,3.5957796126503287e-59
128,9,4,Aplikasi Chatbot untuk Reservasi Pijat Bayi dengan Metode Cosine Similarity,2.755022783802349e-20
129,9,7,KLASIFIKASI KALIMAT MENGANDUNG PERUNDUNGAN BENTUK TUBUH BODY SHAMING PADA MICROBLOGGING MENGGUNAKAN METODE SUPPORT VECTOR MACHINE,9.408772185334537e-36
130,9,4,Kendali Navigasi Slideshow Powerpoint Dengan Gerakan Tangan Menggunakan Metode Hidden Markov Model,8.51762591932374e-47
131,9,38,MEDIA PEMBELAJARAN INTERAKTIF TERHADAP GWK CUTURE PARK MENGGUNAKAN TEKNOLOGI AUGMENTED REALITY,3.1644845659844216e-37
132,9,4,Optimalisasi Image Thresholding Pada Optical Character Recognition Pada Sistem Digitalisasi dan Pencarian Dokumen,6.241867793039825e-55
133,9,34,ALKOHOLISIS MINYAK JAGUNG Zea Mays L DENGAN MENGGUNAKAN KATALIS NaOH PADA TEKANAN 1 ATM,2.2947792892472967e-12
134,9,38,Aplikasi Akses Pengawasan Browser Berbasis Android,4.307229102367334e-16
135,9,11,PENERAPAN TEKNOLOGI NFC UNTUK SISTEM KEAMANAN AKSES PINTU KELAS MENGGUNAKAN RASPBERRY PI,6.395929749156921e-50
136,9,2,PENERAPAN ARTIFICIAL INTELLIGENCE PADA GAME 2D CAT VS DOG MENGGUNAKAN FINITE STATE MACHINE BERBASIS ANDROID,4.008492815299852e-87
137,9,5,IMPLEMENTASI MENENTUKAN FAKTOR UTAMA PADA PENYAKIT KANKER DARAH MENGGUNAKAN METODE TWO SAMPLE T-TEST,1.3702102958059573e-23
138,9,31,SISTEM PENDUKUNG KEPUTUSAN PENENTUAN CALON KARYAWAN BARU POSISI CALL CENTER 147 MENGGUNAKAN METODE PROMETHEE Studi Kasus PT Infomedia Solusi Humanika Telkom Group,6.390415709176937e-47
139,9,3,PENGEMBANGAN SISTEM CLUSTERING SELF-ORGANIZING MAP UNTUK MENENTUKAN PEMBAGIAN KELAS STUDI KASUS SMAN 1 DURENAN,1.7184804342156708e-55
140,9,36,Implementasi Game Herbs Rescue Pada Aplikasi Ensiklopedia Tanaman Obat Tradisional Indonesia Herbar,8.763506517703359e-20
141,9,37,Pengembangan Service Online Judge Untuk Matakuliah Algoritma Berbasis Rest Menggunakan Nodejs dan MongoDB,6.216073507546603e-21
142,9,9,PROSES PELAKSANAAN PROGRAM CSR BINA LINGKUNGAN KOMUNIKASI BILIKOM PADA MASYARAKAT DESA BINAAN,1.2498535059981413e-30
143,9,31,ANALISIS PENGARUH HARGA KUALITAS PRODUK DAN PROMOSI TERHADAP KEPUTUSAN PEMBELIAN MINUMAN TEH KEMASAN TEH BOTOL SOSRO,1.1293665649403152e-36
144,9,3,PENERAPAN ALGORITMA APRIORI DALAM MENENTUKAN POLA PEMBELIAN KONSUMEN DI KAFE HIDDEN TOAST AND FLOAT,1.4281896536135955e-46
145,9,4,IMPLEMENTASI METODE AGGLOMERATIVE HIERARCHICAL CLUSTERING PADA INTRUSION DETECTION SYSTEM BERBASIS SNORT,2.305363437095043e-58
146,9,4,IMPLEMENTASI METODE AGGLOMERATIVE HIERARCHICAL CLUSTERING PADA INTRUSION DETECTION SYSTEM BERBASIS SNORT,2.305363437095043e-58
147,9,32,SISTEM INFORMASI MANAJEMEN PERGUDANGAN DI CV GRAHA EKSOTIKA BERBASIS WEBSERVICE,1.8157975019023523e-14
148,9,31,PENGEMBANGAN SISTEM PENDUKUNG KEPUTUSAN PENENTUAN KELAYAKAN LOKASI CABANG BARU USAHA CLOTHING MENGGUNAKAN METODE AHP-TOPSIS,5.669524297536536e-32
149,9,5,SISTEM PERAMALAN PENYAKIT PADA SISTEM PEREDARAN DARAH BERDASARKAN GAYA HIDUP DENGAN METODE DEMPSTER-SHAFER BERBASIS ANDROID,4.798608354780686e-64
150,9,1,PENGARUH OPINI AUDITOR TERHADAP KELANGSUNGAN USAHA KANTOR AKUNTAN PUBLIK KAP DI PALEMBANG,1.0171393040432172e-28
151,9,34,Analisis Parameter Geometri Awal Plat Pada Proses Bending Bentuk Jogged Flange Terhadap Cacat Ketidakrataan,1.876532901327706e-28
152,9,9,STRATEGI PUBLIK RELATION DALAM MENINGKATKAN PELAYANAN PADA ORGANISASI PUBLIK,3.405663389595528e-21
153,9,9,PERENCANAAN TATA RUANG YANG BERDAMPAK PADA KESEJAHTERAAN MASYARAKAT MISKIN,6.529626689165715e-29
154,10,23,Pengembangan teori probabilitas untuk fusi penginferensian informasi,2.482021828960703e-15
155,10,35,Diplomasi Pertahanan Indonesia Dalam Pencapaian Cybersecurity Melalui ASEAN Regional Forum on Cybersecurity Initiatives,2.4440403390184217e-18
156,10,34,Pengaruh Kompensasi Terhadap Kedisiplinan Dan Kinerja Prajurit Batalyon Kavaleri 11/Serbu Kodam Iskandar Muda,1.904373955919768e-14
157,10,9,Sistem Berpengetahuan-Tumbuh Satu Perspektif Baru dalam Kecerdasan Tiruan,1.5626158579890052e-18
158,10,32,Ekonomi Politik Kerja Sama Korea Selatan-Indonesia dalam Joint Development Pesawat Tempur KFX/IFX,1.730910157537054e-22
159,10,32,AI Wuryandari dan J Sembiring,0.0
160,10,38,Sistem Fusi Informasi Berbasis Agen-Agen Kolaboratif untuk Misi-Misi Strategis,5.0438650453425436e-11
161,10,9,Bauran Kebijakan Fiskal-Moneter dan Dampaknya Bagi Anggaran Pertahanan,1.0969026085014422e-15
162,10,31,Desain dan Implementasi Sistem Fusi Informasi Multi-Agent untuk Mendukung Pengambilan Keputusan dalam Perencanaan Operasi Udara,5.206947465033078e-26
163,10,20,Perangkat Desa Melek Digital dan Kreatif Pelatihan Pengembangan Konten Digital Desa Ngijo Kabupaten Malang,9.275728652809606e-163
164,10,27,PENGURANGAN RISIKO BENCANA GEMPA BUMI-TSUNAMI DI PANGKALAN TNI AU PADANG AKIBAT MEGATHRUST MENTAWAI,3.100411487971851e-26
165,10,28,Pemodelan dan simulasi penyebaran pandemik influenza aspek internal dan eksternal,9.712632063603827e-15
166,10,3,Penerapan Algoritma Apriori Untuk Mempercepat dan Mempermudah Akses Barang di Gudang Material,1.4364369255750476e-27
167,10,30,Sistem Prediksi Permintaan Darah Menggunakan Metode Regresi Linier,1.244942592209607e-36
168,10,30,Prediksi dinamika pandemi di Pulau Jawa menggunakan metode Moving Average dan Knowledge Growing System KGS,1.3168245774504293e-30
169,10,30,SISTEM PREDIKSI TINGKAT KRIMINALITAS MENGGUNAKAN METODE TRIPLE EXPONENTIAL SMOOTHING STUDI KASUS PADA POLRES KABUPATEN PROBOLINGGO,1.4014833489262527e-27
170,10,3,Sistem Prediksi Permintaan Darah Menggunakan Metode Regresi Linier Studi Kasus UTD PMI Kabupaten Bojonegoro,6.8991674632977515e-53
171,10,19,IDENTIFIKASI KARAKTER PLAT NOMOR KENDARAAN DENGAN LEARNING VECTOR QUANTIZATION,3.689029938257791e-26
172,10,25,KLASIFIKASI MUTU DAGING KELAPA BERDASARKAN WARNA DAN TEKSTUR UNTUK PRODUKSI WINGKO YANG BERKUALITAS MENGGUNAKAN METODE SUPPORT VECTOR MACHINE SVMSTUDI KASUS PADA UD PUTRA …,5.367774312434021e-104
173,10,25,KLASIFIKASI JENIS TANAMAN MANGGA BERDASARKAN BENTUK DAN TEKSTUR DAUN MENGGUNAKAN K-NEAREST NEIGHBOR KNN,2.488091430622665e-70
174,10,12,Efektivitas Pemanfaatan Wahana Tanpa Awak Dalam Peliputan dan Penanganan Bencana,2.3368443367429814e-15
175,10,23,SURVEY METODE FUSI INFORMASI UNTUK PERANCANGAN COGNITIVE PROCESSOR,1.0085592191334172e-26
176,10,23,SURVEY METODE FUSI INFORMASI UNTUK PERANCANGAN COGNITIVE PROCESSOR,1.0085592191334172e-26
