No Dosen,Nama Dosen,No Judul,Judul,Grup Riset,Nama Bidang,Nilai Prediksi,Deleted
3,"Ahmadi Yuli Ananta, ST., M.M.",37,SPKK Penyakit Paru-Paru Guna Membantu Proses Anamnesa Berbasis Mobile,Sistem Cerdas,Penerapan Sistem Pakar,1.7944746308253976e-39,0
3,"Ahmadi Yuli Ananta, ST., M.M.",38,Implementasi Metode VIKOR pada Sistem Pendukung Keputusan Penerima Beasiswa PPA Studi Kasus Politeknik Negeri Malang,Information System,Penerapan Sistem Pendukung Keputusan,1.4825243617110154e-58,0
3,"Ahmadi Yuli Ananta, ST., M.M.",39,IMPLEMENTASI ANALISA KERANJANG BELANJA GUNA MENENTUKAN PAKET PRODUK DENGAN ALGORITMA FP-GROWTH,Sistem Cerdas,Penerapan Data Besar,9.958173224773989e-34,0
3,"Ahmadi Yuli Ananta, ST., M.M.",40,IMPLEMENTASI METODE TIME SERIES UNTUK MERAMALKAN PENJUALAN DAN PRODUKSI STUDI KASUS TOKO GERAI PRINT DI SIDOARJO,Information System,Penerapan Sistem Peramalan,9.753779331090435e-32,0
3,"Ahmadi Yuli Ananta, ST., M.M.",41,IMPLEMENTASI ALGORITMA APRIORI PADA PENGELOLAAN PERSEDIAAN OBAT STUDI KASUS DI APOTEK INA NUSANTARA KABUPATEN SITUBONDO,Sistem Cerdas,Penerapan Data Besar,4.1625263752614845e-31,0
3,"Ahmadi Yuli Ananta, ST., M.M.",42,GAME EDUKASI “SUPRIJADI DON’T LOSS YOUR TOWER” BERBASIS ANDROID,Multimedia dan Game,Pengembangan Game,8.524210064517621e-23,0
3,"Ahmadi Yuli Ananta, ST., M.M.",43,RANCANG BANGUN GAME FIGHTING 2D “THE HISTORY OF GAJAH MADA” BERBASIS ANDROID,Multimedia dan Game,Pengembangan Game,6.147887518569654e-47,0
3,"Ahmadi Yuli Ananta, ST., M.M.",44,RANCANG BANGUN GAME EDUKASI “SAVIOR OF PHOTOSYNTHESIS” 2D DENGAN FUZZY,Multimedia dan Game,Pengembangan Game,1.046886132715709e-40,0
3,"Ahmadi Yuli Ananta, ST., M.M.",45,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN TUMBUHAN HERBAL UNTUK OBAT PENYAKIT DALAM DENGAN MENGGUNAKAN METODE AHP,Information System,Penerapan Sistem Pendukung Keputusan,1.1222246554437961e-26,0
3,"Ahmadi Yuli Ananta, ST., M.M.",46,PENCARIAN JALUR TERPENDEK UNTUK PENJEMPUTAN BARANG KIRIMAN PELANGGAN MITRA STUDI KASUS PADA KANTOR POS MALANG,Information System,Penerapan Sistem Informasi Geografis,3.176570232928204e-118,0
4,"Annisa Puspa Kirana., M.Kom",47,Spatio Temporal Clustering Titik Panas pada Lahan Gambut di Sumatera Menggunakan Proses Pengelompokan Poisson,Sistem Cerdas,Penerapan Data Besar,7.207144448167999e-22,0
4,"Annisa Puspa Kirana., M.Kom",48,PENGEMBANGAN SISTEM INFORMASI ALUMNI BERBASIS WEB FAKULTAS SAINS DAN TEKNOLOGI UNIVERSITAS ISLAM NEGERI MAULANA MALIK IBRAHIM MALANG,Information System,Penerapan Pembelajaran Elektronik pada Sistem Informasi,4.138817630971102e-35,0
4,"Annisa Puspa Kirana., M.Kom",49,Improvisasi Teknik Oversampling MWMOTE Untuk Penanganan Data Tidak Seimbang,Sistem Cerdas,Penerapan Data Besar,1.9125740538486674e-48,0
4,"Annisa Puspa Kirana., M.Kom",50,Perangkat Desa Melek Digital dan Kreatif Pelatihan Pengembangan Konten Digital Desa Ngijo Kabupaten Malang,Computer Vision,Penerapan Watermarking pada Citra,9.275728652809606e-163,0
4,"Annisa Puspa Kirana., M.Kom",51,Sistem Pendukung Keputusan Berbasis Website Dalam Menentukan Kelayakan Pembuatan Sertifikat Tanah Menggunakan Metode Analytic Network Process ANP,Information System,Penerapan Sistem Pendukung Keputusan,1.233824228164176e-79,0
4,"Annisa Puspa Kirana., M.Kom",52,Implementasi Naive Bayes Dan Pos Tagging Menggunakan Metode Hidden Markov Model Viterbi Pada Analisa Sentimen Terhadap Akun Twitter Presiden Joko Widodo Di Saat Pandemi COVID-19,Sistem Cerdas,Penerapan Penambangan Teks,2.4771201273564252e-95,0
4,"Annisa Puspa Kirana., M.Kom",53,Sistem Pakar Diagnosa Penyakit Kelamin Menular Pada Laki-laki Dengan Metode Dempster Shafer,Sistem Cerdas,Penerapan Sistem Pakar,1.0094743214896275e-34,0
4,"Annisa Puspa Kirana., M.Kom",54,SPATIO-TEMPORAL DATA MINING PADA DATA HOTSPOT SEBAGAI INDIKATOR KEBAKARAN HUTAN DAN LAHAN GAMBUT DI PROVINSI RIAU,Sistem Cerdas,Penerapan Penambangan Data,5.5955712327024174e-30,0
5,"Annisa Taufika Firdausi, ST., MT.",55,Analisis Sentimen Pada Twitter Mengenai Pasca Bencana Menggunakan Metode Naive Bayes Dengan Fitur N-Gram,Sistem Cerdas,Penerapan Penambangan Teks,1.8388032559915927e-61,0
5,"Annisa Taufika Firdausi, ST., MT.",56,Penerapa Metode Hierarchical Clustering dan K-means Clustering untuk Mengelompokkan Potensi Lokasi Penjualan LINKAJA,Sistem Cerdas,Penerapan Data Besar,1.5480594395174166e-51,0
5,"Annisa Taufika Firdausi, ST., MT.",57,PENGEMBANGAN SISTEM ANALISA KEBERPIHAKAN MEDIA ONLINE BERDASARKAN TREND WAKTU MENGGUNAKAN NAIVE BAYES CLASSIFIER,Sistem Cerdas,Penerapan Data Besar,4.653329004602751e-32,0
5,"Annisa Taufika Firdausi, ST., MT.",58,Implementasi Backward Chaining untuk Diagnosis Low Soft Handover Success Rate pada Jaringan WCDMA,Sistem Cerdas,Penerapan Sistem Pakar,9.458626734962014e-21,0
5,"Annisa Taufika Firdausi, ST., MT.",59,Penentuan Bahan Makanan Untuk Itik Petelur Menggunakan Algoritma Genetika,Sistem Cerdas,Penerapan Penambangan Data,5.886191551378623e-39,0
5,"Annisa Taufika Firdausi, ST., MT.",60,Sistem Pendukung Keputusan Penerima Kredit UKM Menggunakan Metode Weighted Aggregated Sum Product Assessment Studi Kasus BANK BPR Jatim Cabang Magetan,Information System,Penerapan Sistem Pendukung Keputusan,5.075580971673067e-89,0
5,"Annisa Taufika Firdausi, ST., MT.",61,SISTEM PENDUKUNG KEPUTUSAN SOLUSI KELAYAKAN PENERIMA BANTUAN BEDAH RUMAH MENGGUNAKAN METODE PROFILE MATCHING,Information System,Penerapan Sistem Pendukung Keputusan,9.076857463535658e-55,0
5,"Annisa Taufika Firdausi, ST., MT.",62,Aplikasi Android dengan Online First Approach dan Local Database Cache,Computer Network,Penerapan Enkripsi,2.1243233915274185e-42,0
5,"Annisa Taufika Firdausi, ST., MT.",63,PENENTUAN BAHAN MAKANAN UNTUK ITIK PETELUR MENGGUNAKAN ALGORITMA GENETIKA,Sistem Cerdas,Penerapan Penambangan Data,5.886191551378623e-39,0
5,"Annisa Taufika Firdausi, ST., MT.",64,APLIKASI PENGHITUNG KOLONI BAKTERI BERBASIS ANDROID,Multimedia dan Game,Penerapan Augmented Reality,3.2049604238009144e-26,0
5,"Annisa Taufika Firdausi, ST., MT.",65,SISTEM INFORMASI PERAMALAN PENJUALAN KAYU UNTUK MEBEL DENGAN METODE TREND MOMENT di UD MAULANA JATI JEPARA,Information System,Penerapan Sistem Peramalan,8.20857714902731e-39,0
5,"Annisa Taufika Firdausi, ST., MT.",66,SISTEM PAKAR DIAGNOSA PENYAKIT AYAM PULLET MENGGUNAKAN METODE DEMPSTER SHAFER,Sistem Cerdas,Penerapan Sistem Pakar,7.88451329449016e-35,0
5,"Annisa Taufika Firdausi, ST., MT.",67,SISTEM PAKAR DIAGNOSIS PENYAKIT SAPI MENGGUNAKAN FUZZY INFERENCE TSUKAMOTO,Sistem Cerdas,Penerapan Sistem Pakar,2.03573841959268e-40,0
5,"Annisa Taufika Firdausi, ST., MT.",68,Pengembangan Sistem Pendukung Keputusan Pengolahan Pelanggaran Santri Menggunakan metode fuzzy AHP studi kasus pondok pesantren nurul islam antirogo sumbersari jember,Information System,Penerapan Sistem Pendukung Keputusan,2.328866406394625e-85,0
5,"Annisa Taufika Firdausi, ST., MT.",69,IMPLEMENTASI METODE FUZZY DAN FSM PADA GAME LEGEND OF DAMARWULAN,Sistem Cerdas,Penerapan Kecerdasan Buatan,3.979289103064834e-29,0
5,"Annisa Taufika Firdausi, ST., MT.",70,PREDIKSI STOK PERTAMAX SPBU SINGOSARI MALANG MENGGUNAKAN METODE LEAST SQUARE,Information System,Penerapan Sistem Peramalan,2.623594911989412e-38,0
5,"Annisa Taufika Firdausi, ST., MT.",71,PENGEMBANGAN GAME RPG EDUKATIF TOKOH PANGERAN DIPONEGORO DENGAN ALGORITMA PATHFINDING A* DAN LINEAR CONGRUENTIAL METHOD BERBASIS ANDROID,Multimedia dan Game,Pengembangan Game,2.049159003688068e-83,0
5,"Annisa Taufika Firdausi, ST., MT.",72,Implementasi Backward Chaining Untuk Diagnosis Low Soft Handover Success Rate Pada Jaringan Wideband Code Division Multiple Access WCDMA,Sistem Cerdas,Penerapan Sistem Pakar,3.511690465647062e-31,0
5,"Annisa Taufika Firdausi, ST., MT.",73,Aktivitas Repelan Minyak Atsiri Daun Jeruk Pontianak Citrus Nobilis Lour Terhadap Nyamuk Aedes Aegypti L Dengan Metode Whopes,Computer Vision,Penerapan Transformasi Citra,1.1148374638433394e-24,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",74,Penerapan Algoritma Fisher-Yates pada Pengacakan Soal Game Aritmatika,Sistem Cerdas,Penerapan Kecerdasan Buatan,2.7398470500813957e-47,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",75,Pemrogaman Spreadsheet Untuk Pemodelan Kontrol Rangkaian Elektronika,Multimedia dan Game,Multimedia,3.1524028012052277e-27,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",76,Penyusunan Strategi Pembelajaran Participatory Learning and Action untuk Meningkatkan Peran Mahasiswa Teknik Elektronika sebagai Agen Energi Photovoltaic,Multimedia dan Game,Multimedia,3.5094135031342e-42,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",77,IDENTIFIKASI KUALITAS DAUN BAYAM DENGAN GRAY LEVEL CO-OCCURRENCE MATRIX GLCM DAN YUV COLOR MOMENTS,Computer Vision,Penerapan Transformasi Citra,4.0771346020408695e-49,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",78,evaluasi dan perancangan user interface dan user experience menggunakan metode heuristic evaluation dan human centered design pada website kabupaten jembrana,Information System,Penerapan Bisnis Elektronik Sistem Informasi,4.168132795477437e-64,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",79,IMPLEMENTASI APLIKASI PSIKOLOGI EKSPERIMEN UNTUK MENENTUKAN KONDISI KETAHANAN JIWA MENGGUNAKAN METODE FUZZY MAMDHANI,Information System,Penerapan Sistem Pendukung Keputusan,6.318255150449171e-43,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",80,PREDIKSI PERMINTAAN KEBUTUHAN CABAI DI KOTA BATU MENGGUNAKAN METODE EXTREME LEARNING MACHINE,Sistem Cerdas,Penerapan Penambangan Data,9.71519902352224e-68,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",81,SISTEM PENENTU POLA MAKAN SAYUR DAN BUAH BERDASARKAN GOLONGAN DARAH DAN PENYAKIT,Sistem Cerdas,Penerapan Penambangan Data,2.966036259422231e-60,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",82,Sistem Pendukung Keputusan Pembagian Zakat pada Masjid Menggunakan Metode Analytic Network Process,Information System,Penerapan Sistem Pendukung Keputusan,1.2532001268130967e-25,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",83,Media Pembelajaran sistem pencernaan Manusia untuk Siswa Sekolah Dasar berbasis Augmented Reality,Multimedia dan Game,Penerapan Augmented Reality,9.913303814614993e-53,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",84,REKOMENDASI JURUSAN PERGURUAN TINGGI BERDASARKAN BAKAT MINAT DAN NILAI RAPORT MENGGUNAKAN METODE K-NEAREST NEIGHBOR Studi Kasus SMAN 1 Kedungwaru,Sistem Cerdas,Penerapan Data Besar,7.703756569277054e-48,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",85,Penerapan Pembelajaran Cooperative Learning Metode Think Pair Share untuk Matakuliah Pemrograman Komputer Pendidikan Tinggi Vokasi Teknik Elektronika,Information System,Penerapan Pembelajaran Elektronik pada Sistem Informasi,1.3220381144631777e-30,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",86,Pemanfaatan Kinect Sensor dalam Pengembangan Game Interaksi Fisik,Multimedia dan Game,Pengembangan Game,3.3419712707636075e-14,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",87,GAME PENINGGALAN SEJARAH DI PULAU JAWA GENRE PETUALANGAN,Multimedia dan Game,Pengembangan Game,4.468273810013686e-41,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",88,Desain Aplikasi Pendidikan Masyarakat Sadar Menanam Pohon Menggunakan Teknologi Augmented Reality,Multimedia dan Game,Penerapan Augmented Reality,6.491388957389576e-63,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",89,Pengembangan Bahan Ajar Pada Kompetensi Dasar Pengelasan Mata Pelajaran Sambungan Dasar Pengelasan Pelat Untuk Kelas XI Teknik Pemesinan Di SMK Pekerjaan Umum Malang,Multimedia dan Game,Multimedia,9.047946318179192e-52,0
7,"Ariadi Retno Ririd, S.Kom., M.Kom.",90,Sistem Pakar Diagnosa 33 Macam Penyakit Kulit dan Kelamin dengan Metode Fuzzy Inference Tsukamoto,Sistem Cerdas,Penerapan Sistem Pakar,4.2603641178400635e-22,0
7,"Ariadi Retno Ririd, S.Kom., M.Kom.",91,Optimasi Metode Discriminatively Regularized Least Square Classification Dengan Algoritma Genetika,Sistem Cerdas,Penerapan Penambangan Data,2.865451251838341e-24,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",92,PENGEMBANGAN APLIKASI MOBILE PERAMALAN CUACA UNTUK PENENTUAN TANAMAN PANGAN MENGGUNAKAN METODE TRIPLE EXPONENTIAL SMOOTHING,Information System,Penerapan Sistem Peramalan,1.931668333736056e-32,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",93,PEMETAAN DENGAN QGIS DAN PERHITUNGAN KORELASI FAKTOR YANG MEMPENGARUHI HASIL PRODUKSI PERTANIAN DENGAN PEARSON CORRELATION,Information System,Penerapan Sistem Informasi Geografis,6.961658016823824e-63,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",94,ANALISIS RESIKO KANKER PAYUDARA BREAST CANCER MENGGUNAKAN FUZZY INFERENCE SYSTEM FIS MODEL MAMDANI,Information System,Penerapan Sistem Pendukung Keputusan,6.411124848505715e-60,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",95,Identifikasi Kualitas Biji Jagung Manis Layak Jual dari Warna dan Tekstur Menggunakan HSV dan Gray Level Run Length Matrix GLRLM,Computer Vision,Penerapan Kompresi Citra,3.145750979891008e-82,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",96,SISTEM INFORMASI PELAYANAN HOTEL STUDI KASUS MOZZA INN SG17 TUBAN BERBASIS WEBSITE,Information System,Penerapan Customer Relationship Management,2.3445870496370823e-19,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",97,IMPLEMENTASI METODE LINEAR DISCRIMINANT ANALYSIS UNTUK DETEKSI KEMATANGAN PADA BUAH STROBERI,Computer Vision,Penerapan Transformasi Citra,2.394370698571179e-52,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",98,IDENTIFIKASI BIBIT LELE UNGGUL BERDASARKAN GERAKNYA MENGGUNAKAN METODE PHASE ONLY CORRELATION,Sistem Cerdas,Penerapan Data Besar,1.0613373132794652e-46,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",99,IDENTIFIKASI KOMPONEN GUI PADA PROTOTIPE APLIKASI MOBILE,Multimedia dan Game,Penerapan Augmented Reality,4.5167089490302176e-32,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",100,Pengembangan Sistem Rekomendasi Kategori Cerita Pendek Menggunakan Naïve Bayes Classifier,Sistem Cerdas,Penerapan Penambangan Teks,4.810645039993714e-30,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",101,Identifikasi Citra Tulisan Tangan Digital Menggunakan Convolutional Neural Network CNN,Computer Vision,Penerapan Pengenalan Pola,1.4854886699121208e-48,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",102,Pengembangan Sistem Konversi Dokumen Undang-Undang Republik Indonesia dari Format Teks ke XML,Sistem Cerdas,Penerapan Information Retrieval,2.7483220638378987e-54,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",103,Pengembangan Game Penyelamatan Hewan–hewan yang Terancam Punah Menggunakan Metode FSM FINITE STATE MACHINE dan Metode Fuzzy Logic,Sistem Cerdas,Penerapan Kecerdasan Buatan,1.925767825503906e-83,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",104,IDENTIFIKASI PENYAKIT CVPD Citrus Vein Phloem Degeneration PADA DAUN JERUK MENGGGUNAKAN OTSU TRESHOLD DAN PENGUKURAN CIRI FISIK SECARA OTOMATIS BERBASIS ANDROID,Sistem Cerdas,Penerapan Sistem Pakar,8.822370881959542e-66,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",105,PENGENALAN IRIS MATA MENGGUNAKAN EKSTRAKSI FEATURE CUMMULATIVE-SUM,Computer Vision,Penerapan Pengenalan Pola,3.907529868547075e-17,0
9,"Arief Prasetyo, S.Kom., M.Kom.",106,Corporate governance kebijakan dividen dan nilai perusahaan studi empiris pada perusahaan nonkeuangan yang terdaftar di bursa efek Indonesia tahun 2006-2007,Sistem Cerdas,Penerapan Data Besar,1.2079582080045852e-36,0
9,"Arief Prasetyo, S.Kom., M.Kom.",107,Pendugaan Perubahan Cadangan Karbon di Tambling Wildlife Nature Conservation Taman Nasional Bukit Barisan Selatan,Sistem Cerdas,Penerapan Penambangan Teks,1.7552184591971669e-19,0
9,"Arief Prasetyo, S.Kom., M.Kom.",108,Pengembangan Game Edukasi Pengenalan Budaya Indonesia “Jelajah” Berbasis Android,Multimedia dan Game,Pengembangan Game,3.6486251507531384e-22,0
